Method,Overall Hit Rate (%),High-g Hit Rate (%),Avg Energy (m²/s³),Avg Time (s)
"PNG (N=4, τ=0.2)",53.583333333333336,17.0,4317.050132712339,8.661421666667307
Group 1 (8D RL),98.0,94.25,9425.34062733565,6.508753333333803
Group 2 (6D RL),94.83333333333333,85.75,10511.3045945873,6.508784166667136
