a_max,hit_rate,avg_miss_distance,avg_energy,avg_time,n_trials
0,100.0,0.3320544756086783,2188.9603365341372,6.493170000000467,200
2,100.0,0.32851502125456067,3675.2092211118083,6.495050000000467,200
4,100.0,0.3295412054426389,6468.205985172185,6.500335000000469,200
6,97.5,0.35613992261916694,10721.438009625914,6.508875000000469,200
8,91.5,0.39292871704808513,16359.902510912838,6.5204850000004715,200
10,80.0,0.5170201427041539,23654.111504166907,6.534790000000473,200
