a_max,hit_rate,avg_miss_distance,avg_energy,avg_time,n_trials
0,3.0,7.773076466639197,6746.76986196648,6.494870000000467,200
2,3.0,7.876754973572358,6917.548232353374,6.496920000000468,200
4,1.5,8.09722764702265,7275.989531423894,6.502505000000469,200
6,2.0,8.480228000170554,7899.859898965603,6.5114100000004695,200
8,3.5000000000000004,8.9319348717494,8587.314511203824,6.523460000000472,200
10,3.5000000000000004,9.382343078774973,9266.460776199458,6.5383100000004735,200
