N,tau,maneuver,max_g,png_hit_rate,ppo_hit_rate,png_miss_mean,ppo_miss_mean
5.5,0.05,sine,12,94.0,60.0,0.034,0.459
5.5,0.05,sine,15,84.0,40.0,0.112,0.921
5.5,0.05,sine,18,72.0,28.0,0.238,1.455
5.5,0.05,sine,20,66.0,24.0,0.347,1.819
5.5,0.1,none,-,100.0,100.0,0.0,0.0
5.5,0.1,step,3,100.0,100.0,0.0,0.0
5.5,0.1,step,5,100.0,100.0,0.0,0.0
5.5,0.1,step,7,100.0,100.0,0.0,0.0
5.5,0.1,step,10,100.0,100.0,0.0,0.0
5.5,0.1,step,12,100.0,100.0,0.0,0.0
5.5,0.1,step,15,100.0,100.0,0.0,0.0
5.5,0.1,step,18,72.0,90.0,0.269,0.059
5.5,0.1,step,20,28.0,66.0,1.469,0.408
5.5,0.1,sine,3,100.0,100.0,0.0,0.0
5.5,0.1,sine,5,100.0,100.0,0.0,0.0
5.5,0.1,sine,7,66.0,94.0,0.216,0.038
5.5,0.1,sine,10,30.0,74.0,0.644,0.232
5.5,0.1,sine,12,30.0,60.0,0.872,0.459
5.5,0.1,sine,15,20.0,40.0,1.295,0.921
5.5,0.1,sine,18,20.0,28.0,1.738,1.455
5.5,0.1,sine,20,18.0,24.0,2.089,1.819
5.5,0.15,none,-,100.0,100.0,0.0,0.0
5.5,0.15,step,3,100.0,100.0,0.0,0.0
5.5,0.15,step,5,100.0,100.0,0.0,0.0
5.5,0.15,step,7,100.0,100.0,0.0,0.0
5.5,0.15,step,10,100.0,100.0,0.0,0.0
5.5,0.15,step,12,96.0,100.0,0.021,0.0
5.5,0.15,step,15,38.0,100.0,0.931,0.0
5.5,0.15,step,18,2.0,90.0,4.742,0.059
5.5,0.15,step,20,4.0,66.0,8.76,0.408
5.5,0.15,sine,3,100.0,100.0,0.0,0.0
5.5,0.15,sine,5,56.0,100.0,0.325,0.0
5.5,0.15,sine,7,32.0,94.0,0.73,0.038
5.5,0.15,sine,10,14.0,74.0,1.432,0.232
5.5,0.15,sine,12,12.0,60.0,2.004,0.459
5.5,0.15,sine,15,14.0,40.0,2.827,0.921
5.5,0.15,sine,18,0.0,28.0,3.682,1.455
5.5,0.15,sine,20,4.0,24.0,4.041,1.819
5.5,0.2,none,-,100.0,100.0,0.0,0.0
5.5,0.2,step,3,100.0,100.0,0.0,0.0
5.5,0.2,step,5,100.0,100.0,0.0,0.0
5.5,0.2,step,7,100.0,100.0,0.0,0.0
5.5,0.2,step,10,80.0,100.0,0.154,0.0
5.5,0.2,step,12,46.0,100.0,0.623,0.0
5.5,0.2,step,15,4.0,100.0,6.12,0.0
5.5,0.2,step,18,10.0,90.0,10.637,0.059
5.5,0.2,step,20,0.0,66.0,16.978,0.408
5.5,0.2,sine,3,80.0,100.0,0.122,0.0
5.5,0.2,sine,5,26.0,100.0,0.673,0.0
5.5,0.2,sine,7,14.0,94.0,1.249,0.038
5.5,0.2,sine,10,12.0,74.0,2.181,0.232
5.5,0.2,sine,12,12.0,60.0,2.755,0.459
5.5,0.2,sine,15,6.0,40.0,3.62,0.921
5.5,0.2,sine,18,0.0,28.0,4.67,1.455
5.5,0.2,sine,20,0.0,24.0,5.15,1.819
5.5,0.3,none,-,100.0,100.0,0.0,0.0
5.5,0.3,step,3,100.0,100.0,0.0,0.0
5.5,0.3,step,5,100.0,100.0,0.0,0.0
5.5,0.3,step,7,70.0,100.0,0.245,0.0
5.5,0.3,step,10,4.0,100.0,3.372,0.0
5.5,0.3,step,12,0.0,100.0,9.905,0.0
5.5,0.3,step,15,0.0,100.0,17.46,0.0
5.5,0.3,step,18,0.0,90.0,23.296,0.059
5.5,0.3,step,20,0.0,66.0,22.766,0.408
5.5,0.3,sine,3,56.0,100.0,0.366,0.0
5.5,0.3,sine,5,34.0,100.0,0.982,0.0
5.5,0.3,sine,7,6.0,94.0,1.866,0.038
5.5,0.3,sine,10,2.0,74.0,3.101,0.232
5.5,0.3,sine,12,2.0,60.0,3.868,0.459
5.5,0.3,sine,15,4.0,40.0,4.834,0.921
5.5,0.3,sine,18,2.0,28.0,5.396,1.455
5.5,0.3,sine,20,2.0,24.0,5.67,1.819
5.5,0.4,none,-,100.0,100.0,0.0,0.0
5.5,0.4,step,3,98.0,100.0,0.013,0.0
5.5,0.4,step,5,74.0,100.0,0.218,0.0
5.5,0.4,step,7,22.0,100.0,1.371,0.0
5.5,0.4,step,10,0.0,100.0,12.825,0.0
5.5,0.4,step,12,0.0,100.0,22.343,0.0
5.5,0.4,step,15,2.0,100.0,26.183,0.0
5.5,0.4,step,18,0.0,90.0,29.744,0.059
5.5,0.4,step,20,0.0,66.0,24.163,0.408
5.5,0.4,sine,3,54.0,100.0,0.455,0.0
5.5,0.4,sine,5,32.0,100.0,1.094,0.0
5.5,0.4,sine,7,20.0,94.0,1.807,0.038
5.5,0.4,sine,10,2.0,74.0,3.083,0.232
5.5,0.4,sine,12,4.0,60.0,3.891,0.459
5.5,0.4,sine,15,2.0,40.0,4.979,0.921
5.5,0.4,sine,18,2.0,28.0,5.641,1.455
5.5,0.4,sine,20,6.0,24.0,5.751,1.819
5.5,0.5,none,-,100.0,100.0,0.0,0.0
5.5,0.5,step,3,94.0,100.0,0.06,0.0
5.5,0.5,step,5,64.0,100.0,0.551,0.0
5.5,0.5,step,7,0.0,100.0,5.741,0.0
5.5,0.5,step,10,0.0,100.0,24.255,0.0
5.5,0.5,step,12,4.0,100.0,28.984,0.0
5.5,0.5,step,15,0.0,100.0,30.885,0.0
5.5,0.5,step,18,2.0,90.0,30.655,0.059
5.5,0.5,step,20,0.0,66.0,24.085,0.408
5.5,0.5,sine,3,60.0,100.0,0.483,0.0
5.5,0.5,sine,5,36.0,100.0,1.122,0.0
5.5,0.5,sine,7,22.0,94.0,1.876,0.038
5.5,0.5,sine,10,10.0,74.0,3.088,0.232
5.5,0.5,sine,12,4.0,60.0,3.933,0.459
5.5,0.5,sine,15,4.0,40.0,4.965,0.921
5.5,0.5,sine,18,6.0,28.0,5.508,1.455
5.5,0.5,sine,20,8.0,24.0,5.635,1.819
5.5,0.7,none,-,100.0,100.0,0.0,0.0
5.5,0.7,step,3,46.0,100.0,0.707,0.0
5.5,0.7,step,5,0.0,100.0,4.96,0.0
5.5,0.7,step,7,0.0,100.0,23.11,0.0
5.5,0.7,step,10,0.0,100.0,37.406,0.0
5.5,0.7,step,12,2.0,100.0,34.622,0.0
5.5,0.7,step,15,0.0,100.0,34.641,0.0
5.5,0.7,step,18,0.0,90.0,28.895,0.059
5.5,0.7,step,20,0.0,66.0,22.156,0.408
5.5,0.7,sine,3,54.0,100.0,0.651,0.0
5.5,0.7,sine,5,40.0,100.0,1.316,0.0
5.5,0.7,sine,7,26.0,94.0,2.067,0.038
5.5,0.7,sine,10,10.0,74.0,3.177,0.232
5.5,0.7,sine,12,8.0,60.0,3.844,0.459
5.5,0.7,sine,15,4.0,40.0,4.825,0.921
5.5,0.7,sine,18,8.0,28.0,5.499,1.455
5.5,0.7,sine,20,6.0,24.0,5.657,1.819
6.0,0.05,none,-,100.0,100.0,0.0,0.0
6.0,0.05,step,3,100.0,100.0,0.0,0.0
6.0,0.05,step,5,100.0,100.0,0.0,0.0
6.0,0.05,step,7,100.0,100.0,0.0,0.0
6.0,0.05,step,10,100.0,100.0,0.0,0.0
6.0,0.05,step,12,100.0,100.0,0.0,0.0
6.0,0.05,step,15,100.0,100.0,0.0,0.0
6.0,0.05,step,18,100.0,90.0,0.0,0.059
6.0,0.05,step,20,100.0,66.0,0.0,0.408
6.0,0.05,sine,3,100.0,100.0,0.0,0.0
6.0,0.05,sine,5,100.0,100.0,0.0,0.0
6.0,0.05,sine,7,100.0,94.0,0.0,0.038
6.0,0.05,sine,10,100.0,74.0,0.0,0.232
6.0,0.05,sine,12,100.0,60.0,0.0,0.459
6.0,0.05,sine,15,86.0,40.0,0.097,0.921
6.0,0.05,sine,18,82.0,28.0,0.169,1.455
6.0,0.05,sine,20,74.0,24.0,0.269,1.819
6.0,0.1,none,-,100.0,100.0,0.0,0.0
6.0,0.1,step,3,100.0,100.0,0.0,0.0
6.0,0.1,step,5,100.0,100.0,0.0,0.0
6.0,0.1,step,7,100.0,100.0,0.0,0.0
6.0,0.1,step,10,100.0,100.0,0.0,0.0
6.0,0.1,step,12,100.0,100.0,0.0,0.0
6.0,0.1,step,15,100.0,100.0,0.0,0.0
6.0,0.1,step,18,98.0,90.0,0.01,0.059
6.0,0.1,step,20,40.0,66.0,0.876,0.408
6.0,0.1,sine,3,100.0,100.0,0.0,0.0
6.0,0.1,sine,5,100.0,100.0,0.0,0.0
6.0,0.1,sine,7,68.0,94.0,0.209,0.038
6.0,0.1,sine,10,34.0,74.0,0.618,0.232
6.0,0.1,sine,12,36.0,60.0,0.825,0.459
6.0,0.1,sine,15,26.0,40.0,1.231,0.921
6.0,0.1,sine,18,22.0,28.0,1.684,1.455
6.0,0.1,sine,20,18.0,24.0,2.054,1.819
6.0,0.15,none,-,100.0,100.0,0.0,0.0
6.0,0.15,step,3,100.0,100.0,0.0,0.0
6.0,0.15,step,5,100.0,100.0,0.0,0.0
6.0,0.15,step,7,100.0,100.0,0.0,0.0
6.0,0.15,step,10,100.0,100.0,0.0,0.0
6.0,0.15,step,12,100.0,100.0,0.0,0.0
6.0,0.15,step,15,58.0,100.0,0.365,0.0
6.0,0.15,step,18,2.0,90.0,3.489,0.059
6.0,0.15,step,20,0.0,66.0,7.901,0.408
6.0,0.15,sine,3,98.0,100.0,0.01,0.0
6.0,0.15,sine,5,52.0,100.0,0.345,0.0
6.0,0.15,sine,7,22.0,94.0,0.817,0.038
6.0,0.15,sine,10,18.0,74.0,1.462,0.232
6.0,0.15,sine,12,12.0,60.0,2.067,0.459
6.0,0.15,sine,15,10.0,40.0,2.972,0.921
6.0,0.15,sine,18,4.0,28.0,3.82,1.455
6.0,0.15,sine,20,4.0,24.0,4.21,1.819
6.0,0.2,none,-,100.0,100.0,0.0,0.0
6.0,0.2,step,3,100.0,100.0,0.0,0.0
6.0,0.2,step,5,100.0,100.0,0.0,0.0
6.0,0.2,step,7,100.0,100.0,0.0,0.0
6.0,0.2,step,10,96.0,100.0,0.021,0.0
6.0,0.2,step,12,72.0,100.0,0.267,0.0
6.0,0.2,step,15,0.0,100.0,4.575,0.0
6.0,0.2,step,18,2.0,90.0,10.594,0.059
6.0,0.2,step,20,0.0,66.0,16.994,0.408
6.0,0.2,sine,3,74.0,100.0,0.149,0.0
6.0,0.2,sine,5,32.0,100.0,0.655,0.0
6.0,0.2,sine,7,10.0,94.0,1.31,0.038
6.0,0.2,sine,10,6.0,74.0,2.33,0.232
6.0,0.2,sine,12,6.0,60.0,2.939,0.459
6.0,0.2,sine,15,8.0,40.0,3.829,0.921
6.0,0.2,sine,18,2.0,28.0,4.947,1.455
6.0,0.2,sine,20,0.0,24.0,5.494,1.819
6.0,0.3,none,-,100.0,100.0,0.0,0.0
6.0,0.3,step,3,100.0,100.0,0.0,0.0
6.0,0.3,step,5,100.0,100.0,0.0,0.0
6.0,0.3,step,7,78.0,100.0,0.14,0.0
6.0,0.3,step,10,20.0,100.0,1.867,0.0
6.0,0.3,step,12,2.0,100.0,7.7,0.0
6.0,0.3,step,15,2.0,100.0,17.333,0.0
6.0,0.3,step,18,0.0,90.0,24.158,0.059
6.0,0.3,step,20,0.0,66.0,23.706,0.408
6.0,0.3,sine,3,62.0,100.0,0.342,0.0
6.0,0.3,sine,5,24.0,100.0,1.087,0.0
6.0,0.3,sine,7,6.0,94.0,1.996,0.038
6.0,0.3,sine,10,2.0,74.0,3.375,0.232
6.0,0.3,sine,12,4.0,60.0,4.171,0.459
6.0,0.3,sine,15,4.0,40.0,5.273,0.921
6.0,0.3,sine,18,4.0,28.0,5.859,1.455
6.0,0.3,sine,20,2.0,24.0,6.139,1.819
6.0,0.4,none,-,100.0,100.0,0.0,0.0
6.0,0.4,step,3,100.0,100.0,0.0,0.0
6.0,0.4,step,5,84.0,100.0,0.099,0.0
6.0,0.4,step,7,36.0,100.0,0.961,0.0
6.0,0.4,step,10,0.0,100.0,10.605,0.0
6.0,0.4,step,12,0.0,100.0,22.257,0.0
6.0,0.4,step,15,0.0,100.0,27.611,0.0
6.0,0.4,step,18,0.0,90.0,31.456,0.059
6.0,0.4,step,20,2.0,66.0,25.323,0.408
6.0,0.4,sine,3,54.0,100.0,0.483,0.0
6.0,0.4,sine,5,24.0,100.0,1.223,0.0
6.0,0.4,sine,7,18.0,94.0,2.015,0.038
6.0,0.4,sine,10,2.0,74.0,3.419,0.232
6.0,0.4,sine,12,2.0,60.0,4.319,0.459
6.0,0.4,sine,15,2.0,40.0,5.467,0.921
6.0,0.4,sine,18,4.0,28.0,6.188,1.455
6.0,0.4,sine,20,6.0,24.0,6.305,1.819
6.0,0.5,none,-,100.0,100.0,0.0,0.0
6.0,0.5,step,3,98.0,100.0,0.021,0.0
6.0,0.5,step,5,60.0,100.0,0.508,0.0
6.0,0.5,step,7,2.0,100.0,3.717,0.0
6.0,0.5,step,10,2.0,100.0,23.954,0.0
6.0,0.5,step,12,0.0,100.0,30.737,0.0
6.0,0.5,step,15,0.0,100.0,33.168,0.0
6.0,0.5,step,18,0.0,90.0,32.729,0.059
6.0,0.5,step,20,2.0,66.0,25.442,0.408
6.0,0.5,sine,3,54.0,100.0,0.521,0.0
6.0,0.5,sine,5,34.0,100.0,1.176,0.0
6.0,0.5,sine,7,18.0,94.0,1.967,0.038
6.0,0.5,sine,10,8.0,74.0,3.312,0.232
6.0,0.5,sine,12,2.0,60.0,4.253,0.459
6.0,0.5,sine,15,2.0,40.0,5.348,0.921
6.0,0.5,sine,18,8.0,28.0,5.948,1.455
6.0,0.5,sine,20,6.0,24.0,6.175,1.819
6.0,0.7,none,-,100.0,100.0,0.0,0.0
6.0,0.7,step,3,66.0,100.0,0.475,0.0
6.0,0.7,step,5,4.0,100.0,2.989,0.0
6.0,0.7,step,7,4.0,100.0,21.027,0.0
6.0,0.7,step,10,0.0,100.0,39.644,0.0
6.0,0.7,step,12,2.0,100.0,37.2,0.0
6.0,0.7,step,15,0.0,100.0,37.877,0.0
6.0,0.7,step,18,0.0,90.0,30.766,0.059
6.0,0.7,step,20,0.0,66.0,23.669,0.408
6.0,0.7,sine,3,52.0,100.0,0.644,0.0
6.0,0.7,sine,5,38.0,100.0,1.351,0.0
6.0,0.7,sine,7,24.0,94.0,2.165,0.038
6.0,0.7,sine,10,12.0,74.0,3.348,0.232
6.0,0.7,sine,12,6.0,60.0,4.08,0.459
6.0,0.7,sine,15,4.0,40.0,5.167,0.921
6.0,0.7,sine,18,6.0,28.0,5.894,1.455
6.0,0.7,sine,20,6.0,24.0,5.999,1.819
