N,tau,maneuver,max_g,png_hit_rate,ppo_hit_rate,png_n_hits,ppo_n_hits,png_miss_mean,ppo_miss_mean,png_miss_std,ppo_miss_std,png_time_mean,ppo_time_mean,png_energy_mean,ppo_energy_mean
2.5000,0.1500,step,10,0.0400,1.0000,2,50,3.0188,0.0000,1.7544,0.0000,7.1411,7.1346,36542.0301,14017.1100
2.5000,0.1500,step,12,0.0600,1.0000,3,50,4.1238,0.0000,2.0908,0.0000,7.1539,7.1519,38077.5073,18937.9541
2.5000,0.1500,step,15,0.0400,1.0000,2,50,5.6367,0.0000,3.1730,0.0000,7.1268,7.1291,41083.6811,27747.6991
2.5000,0.1500,step,18,0.0200,0.9000,1,45,6.8012,0.0586,3.7208,0.1762,7.1352,7.1416,46004.9410,37844.1458
2.5000,0.1500,step,20,0.0000,0.6600,0,33,9.1919,0.4080,3.1337,0.5974,7.1177,7.1304,39167.7848,46049.5885
2.5000,0.1500,sine,3,0.8600,1.0000,43,50,0.0900,0.0000,0.2249,0.0000,6.4318,6.4301,1852.7616,2092.6707
2.5000,0.1500,sine,5,0.5400,1.0000,27,50,0.4110,0.0000,0.4827,0.0000,6.4370,6.4352,3301.1928,3679.7849
2.5000,0.1500,sine,7,0.3800,0.9400,19,47,0.7259,0.0377,0.6867,0.1518,6.4460,6.4442,4794.5133,5754.7659
2.5000,0.1500,sine,10,0.2000,0.7400,10,37,1.2552,0.2319,0.9520,0.4212,6.4659,6.4644,6939.6554,9366.9633
2.5000,0.1500,sine,12,0.1600,0.6000,8,30,1.5387,0.4587,1.1330,0.6273,6.4834,6.4817,8307.0255,11995.2604
2.5000,0.1500,sine,15,0.1600,0.4000,8,20,1.8559,0.9212,1.4471,0.9503,6.5147,6.5128,10327.2745,15567.5569
2.5000,0.1500,sine,18,0.1400,0.2800,7,14,2.1879,1.4554,1.6549,1.3243,6.5510,6.5489,11130.1587,18797.9512
2.5000,0.1500,sine,20,0.1000,0.2400,5,12,2.3679,1.8188,1.6694,1.5860,6.5776,6.5752,11912.7595,20872.7566
2.5000,0.2000,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4309,6.4299,302.1088,1140.9148
2.5000,0.2000,step,3,0.9000,1.0000,45,50,0.0579,0.0000,0.1744,0.0000,7.1825,7.1670,8380.8151,3188.7561
2.5000,0.2000,step,5,0.3200,1.0000,16,50,1.3382,0.0000,1.2909,0.0000,7.2162,7.1974,17544.2164,5152.5992
2.5000,0.2000,step,7,0.1000,1.0000,5,50,3.0447,0.0000,1.8990,0.0000,7.1568,7.1440,26415.4480,7830.9788
2.5000,0.2000,step,10,0.0200,1.0000,1,50,5.2234,0.0000,2.6756,0.0000,7.1390,7.1346,36500.3773,14017.1100
2.5000,0.2000,step,12,0.0400,1.0000,2,50,6.5347,0.0000,3.2031,0.0000,7.1508,7.1519,37320.4991,18937.9541
2.5000,0.2000,step,15,0.0200,1.0000,1,50,7.9897,0.0000,3.9974,0.0000,7.1234,7.1291,39314.5648,27747.6991
2.5000,0.2000,step,18,0.0400,0.9000,2,45,9.8032,0.0586,4.4105,0.1762,7.1299,7.1416,40831.6251,37844.1458
2.5000,0.2000,step,20,0.0000,0.6600,0,33,10.9992,0.4080,4.5147,0.5974,7.1134,7.1304,34019.6797,46049.5885
2.5000,0.2000,sine,3,0.7000,1.0000,35,50,0.2175,0.0000,0.3469,0.0000,6.4319,6.4301,1517.0244,2092.6707
2.5000,0.2000,sine,5,0.4800,1.0000,24,50,0.5481,0.0000,0.6131,0.0000,6.4371,6.4352,2666.6538,3679.7849
2.5000,0.2000,sine,7,0.3000,0.9400,15,47,0.9252,0.0377,0.8553,0.1518,6.4460,6.4442,3832.9972,5754.7659
2.5000,0.2000,sine,10,0.1800,0.7400,9,37,1.4898,0.2319,1.2328,0.4212,6.4659,6.4644,5318.8039,9366.9633
2.5000,0.2000,sine,12,0.1200,0.6000,6,30,1.8578,0.4587,1.4329,0.6273,6.4831,6.4817,6184.3678,11995.2604
2.5000,0.2000,sine,15,0.0600,0.4000,3,20,2.2973,0.9212,1.7029,0.9503,6.5143,6.5128,7741.0427,15567.5569
2.5000,0.2000,sine,18,0.0800,0.2800,4,14,2.5067,1.4554,2.0402,1.3243,6.5508,6.5489,9003.3759,18797.9512
2.5000,0.2000,sine,20,0.1000,0.2400,5,12,2.6714,1.8188,2.1160,1.5860,6.5773,6.5752,9397.5652,20872.7566
2.5000,0.3000,none,-,1.0000,1.0000,50,50,0.0000,0.0000,0.0000,0.0000,6.4312,6.4299,319.1018,1140.9148
2.5000,0.3000,step,3,0.5000,1.0000,25,50,0.4948,0.0000,0.5497,0.0000,7.1853,7.1670,10861.4936,3188.7561
2.5000,0.3000,step,5,0.2600,1.0000,13,50,2.8146,0.0000,2.6656,0.0000,7.2177,7.1974,19649.8384,5152.5992
2.5000,0.3000,step,7,0.0400,1.0000,2,50,6.2270,0.0000,3.2141,0.0000,7.1550,7.1440,26512.9705,7830.9788
2.5000,0.3000,step,10,0.0400,1.0000,2,50,9.8108,0.0000,4.9168,0.0000,7.1329,7.1346,34233.8567,14017.1100
2.5000,0.3000,step,12,0.0000,1.0000,0,50,10.3281,0.0000,5.8341,0.0000,7.1448,7.1519,34514.6863,18937.9541
2.5000,0.3000,step,15,0.0000,1.0000,0,50,11.6018,0.0000,5.7784,0.0000,7.1169,7.1291,32608.6414,27747.6991
2.5000,0.3000,step,18,0.0000,0.9000,0,45,13.9295,0.0586,5.0148,0.1762,7.1208,7.1416,29240.1883,37844.1458
2.5000,0.3000,step,20,0.0000,0.6600,0,33,12.0898,0.4080,5.7339,0.5974,7.1094,7.1304,25434.7112,46049.5885
