Method,Overall Hit Rate (%),High-g Hit Rate (%),Avg Energy (m²/s³),Avg Time (s)
Full Obs (8D),84.8,69.0,544.4,6.51
Engineering Partial (6D),1.2,1.0,140.4,6.49
