rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/n_updates,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/std,train/loss,train/entropy_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
171.5701904296875,311.3125,1819,1,16384,9,,,,,,,,,,,,,
165.18211364746094,307.21,1561,2,32768,20,10,684.5698897361756,0.2,0.0026995498,-0.0021796241751872005,0.0197509765625,0.0003,1.0230255126953125,310.93157958984375,-2.8688259832561016,0.0001710057258605957,,
164.84744262695312,307.17,1504,3,49152,32,20,515.6375930309296,0.2,0.0015230993,-0.0010966558358632029,0.006488037109375,0.0003,1.0342299938201904,97.5321273803711,-2.891833444684744,0.35362738370895386,,
190.90081787109375,319.15,1478,4,65536,44,30,257.67759265899656,0.2,0.0019058045,-0.001666906003083568,0.006787109375,0.0003,1.0414055585861206,108.92964172363281,-2.910072446614504,0.7566928863525391,,
,,,,80000,,40,145.9500451385975,0.2,0.0023087854,-0.0018534847382397856,0.015606689453125,0.0003,1.0526480674743652,44.20943832397461,-2.9272059068083762,0.887503445148468,286.05,184.53440856933594
200.4037322998047,320.96,1364,5,81920,60,,,,,,,,,,,,,
194.0295867919922,319.5,1372,6,98304,71,50,83.88017172515393,0.2,0.0025495356,-0.0014312644088931847,0.01331787109375,0.0003,1.0712926387786865,23.665441513061523,-2.9599519092589617,0.9457844495773315,,
209.05323791503906,328.6,1375,7,114688,83,60,39.8328159019351,0.2,0.0029826176,-0.0022236781536776108,0.0165771484375,0.0003,1.085982322692871,10.920503616333008,-2.9919025227427483,0.9756673574447632,,
223.79617309570312,334.78,1375,8,131072,95,70,27.75308990329504,0.2,0.0038400358,-0.0032129776525835043,0.0287353515625,0.0003,1.0993363857269287,8.461496353149414,-3.0143366221338512,0.9858566522598267,,
238.5648193359375,344.28,1377,9,147456,107,80,21.522027184069156,0.2,0.0051055443,-0.003923405984824058,0.037078857421875,0.0003,1.1151974201202393,15.310757637023926,-3.0397618494927885,0.9909343123435974,,
,,,,160000,,90,13.023829140514135,0.2,0.004627943,-0.0033701170745189303,0.031951904296875,0.0003,1.124701976776123,4.665792942047119,-3.0627578042447565,0.9940210580825806,338.85,288.4206848144531
235.4350128173828,335.09,1327,10,163840,123,,,,,,,,,,,,,
244.52183532714844,330.91,1330,11,180224,135,100,17.739766868948937,0.2,0.0044093267,-0.004105579408496851,0.02908935546875,0.0003,1.1248183250427246,7.5284857749938965,-3.0716793153434994,0.9947630763053894,,
254.09617614746094,335.79,1335,12,196608,147,110,31.475341574847697,0.2,0.003878516,-0.004020256811054423,0.028656005859375,0.0003,1.1295684576034546,13.141599655151367,-3.074840993434191,0.9926034808158875,,
256.0772705078125,337.86,1341,13,212992,158,120,24.675451142340897,0.2,0.0042900112,-0.004469276608142536,0.03126220703125,0.0003,1.1282804012298584,10.475555419921875,-3.077681202813983,0.9946929216384888,,
281.70489501953125,349.46,1344,14,229376,170,130,23.24255656003952,0.2,0.0062343744,-0.004004237742628902,0.05194091796875,0.0003,1.1201494932174683,11.524567604064941,-3.0670178972184656,0.9946390390396118,,
