#{"t_start": 1773656329.683753, "env_id": "None"}
r,l,t
-1727.1472,346,38.37124
-2011.3491,332,38.429288
-6237.497,413,38.454923
-4051.7307,334,38.785714
-6274.3477,407,38.804494
-7181.529,453,38.829064
-3383.643,359,38.838486
-5151.903,324,39.122544
-1608.0466,294,39.145413
-2235.8518,353,39.16998
-2511.343,350,39.192794
-1335.0737,260,39.470449
-3204.6064,378,39.559263
-4399.058,401,39.611055
-5717.171,388,39.648752
-1004.3198,218,41.935691
-5667.66,360,41.96278
-3031.9766,308,41.984989
-2850.3638,264,42.022163
-1759.7571,228,42.213419
-1994.6571,384,44.063276
-2449.8481,315,44.076337
-7762.7515,415,44.160116
-1861.8975,322,44.27782
-3067.1057,420,44.557788
-1785.4747,360,44.576234
-8471.615,455,44.605947
-5329.4443,348,44.67935
-746.9123,268,44.835329
-2366.1106,331,44.953288
-3016.7407,394,44.986765
-2032.0751,323,45.021215
-1945.0441,253,45.104239
-2283.3877,242,45.246063
-2767.185,374,45.420965
-8948.1045,453,45.435456
-4298.4624,285,45.545717
-2223.0955,416,45.545756
-785.299,246,45.669991
-1298.7618,221,45.770887
-4474.1035,387,45.834223
-2325.8408,342,45.899796
-2307.757,409,46.103273
-928.56934,225,46.135978
-3361.731,301,46.148648
-2624.3696,364,46.153551
-2829.831,308,48.123032
-1213.9305,329,48.126372
-2910.967,338,48.150515
-2390.2751,387,48.153606
-1200.3605,282,48.474442
-4176.1133,344,48.517335
-3602.0508,382,48.569974
-4306.154,366,48.578854
-1546.2482,250,48.896101
-2102.9246,322,48.93383
-4942.525,424,49.006376
-2728.6553,365,49.038277
-1651.1428,301,49.261522
-5982.5205,413,49.347939
-3529.6284,315,49.375296
-3230.69,396,49.431314
-3299.2744,282,49.655715
-1791.061,254,49.680681
-4115.9473,416,49.682617
-3698.51,342,49.689753
-1778.9307,289,49.980536
-2424.6982,331,50.015116
-3039.7144,389,50.048124
-4468.747,401,51.72109
-2715.0366,246,51.98487
-4852.5737,395,52.073751
-4876.765,385,52.173493
-4918.078,460,52.176651
-3108.5115,383,52.387255
-4491.348,345,52.432813
-1707.7883,337,52.518197
-5495.003,369,52.554359
-3716.8674,316,52.706116
-7621.1304,430,52.866837
-2006.4567,401,52.925228
-1460.3446,237,52.94503
-6634.329,412,52.971713
-1157.5425,225,53.089685
-836.8179,239,53.166788
-2524.615,232,53.18028
-7356.776,409,53.385692
-2750.7532,309,53.406697
-1460.1962,281,53.466449
-1613.5651,379,53.553042
-1873.776,250,53.663549
-1765.529,281,53.752389
-4115.5884,366,53.760026
-4640.166,410,55.611112
-6854.4707,414,55.732723
-5674.5854,443,55.855039
-8814.188,469,55.889904
-2906.0122,373,56.007405
-2314.0618,367,56.116716
-3091.4424,277,56.182016
-5768.861,353,56.225871
-1163.3096,282,56.301307
-1679.554,230,56.367724
-2196.384,283,56.522837
-6962.7026,396,56.593678
-4906.2944,365,56.680904
-1891.6558,318,56.688474
-3233.199,348,56.878247
-1774.7523,274,56.958914
-6647.3906,443,57.046815
-1162.8417,228,57.114033
-2878.8557,418,57.118325
-2990.9766,316,57.371244
-2189.065,419,57.390653
-2675.7268,346,57.47016
-2521.9507,395,57.51426
-705.195,265,59.293418
-897.44696,290,59.427836
-5533.62,430,59.473858
-4333.4546,403,59.591398
-3798.749,404,59.730995
-2093.3062,328,59.759276
-1171.4723,235,59.824906
-5798.6577,454,59.936525
-2519.86,300,60.092865
-2007.988,330,60.095904
-2536.8528,391,60.25502
-8419.6875,420,60.390045
-2682.9248,325,60.427083
-4842.9126,409,60.517223
-1997.8666,262,60.523048
-1049.647,315,62.670762
-884.75055,234,62.717891
-2559.5378,395,62.79629
-1771.8745,329,62.825351
-1195.8514,265,62.993438
-1485.4315,248,63.054
-1387.3076,276,63.114837
-5170.328,470,63.170778
-2856.6484,362,65.012734
-2145.9507,298,65.074819
-3095.2456,422,65.167384
-6192.0356,373,65.232078
-2822.0195,382,65.461632
-3042.9243,356,65.483591
-4557.778,370,65.56486
-1265.689,330,65.582072
-1172.9698,290,65.761725
-1047.2837,222,65.821951
-3204.7173,413,65.926959
-1701.3997,341,65.938916
-2769.1812,278,66.06433
-3598.5051,378,66.240887
-1369.4048,313,66.266748
-4802.9995,382,66.35233
-7379.0566,398,66.501735
-2678.707,312,66.574624
-1427.4694,288,66.576736
-2350.718,224,66.593222
-1149.5125,297,66.823552
-1288.6272,249,66.870378
-1903.3024,304,66.919384
-1626.3895,304,66.921664
-2387.374,335,67.228458
-3794.373,326,67.268299
-4442.8257,374,69.487177
-4485.1064,417,69.549444
-1840.0797,347,69.847678
-4973.0234,379,69.853037
-1731.1785,298,69.951259
-2188.7458,356,69.967065
-3024.5796,362,70.280402
-2145.669,294,70.295111
-3154.3865,406,70.348544
-2383.3694,336,70.38381
-969.6264,272,70.649062
-966.369,288,70.655143
-1851.2882,274,70.685194
-5196.3496,413,70.869081
-1516.9114,246,70.962256
-1689.612,328,71.022641
-7242.7007,376,71.067961
-3822.9988,337,71.229652
