rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/value_loss,train/clip_fraction,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
340.1,12,1987,98304,-3405.7060546875,49,11877.3759765625,29949.0674697876,0.00225830078125,110,0.0007036305,-1.4408205579966307,0.0003,0.0037578344345092773,1.0279157161712646,0.2,-0.0002787576131595415,,
341.12,13,2000,106496,-3458.89208984375,53,11562.9912109375,24423.862944030763,0.00357666015625,120,0.0022258232,-1.4510792464017868,0.0003,0.017267942428588867,1.030827283859253,0.2,-0.000736905200392357,,
340.93,14,2011,114688,-3317.248046875,57,24446.640625,43532.988925170896,0.02447509765625,130,0.0040317154,-1.4565724179148674,0.0003,0.017579853534698486,1.0395338535308838,0.2,-0.0034258119059813906,,
,,,120000,,,15973.8291015625,32400.761184692383,0.01646728515625,140,0.0034859497,-1.455022752098739,0.0003,0.032983481884002686,1.034990668296814,0.2,-0.001953511338069802,-2319.402587890625,337.25
341.07,15,1957,122880,-3191.246337890625,62,,,,,,,,,,,,,
339.31,16,1964,131072,-3158.83447265625,66,12144.6142578125,28345.105517578126,0.0265869140625,150,0.004122531,-1.4500577649101616,0.0003,0.0463029146194458,1.031014323234558,0.2,-0.00261156691776705,,
338.46,17,1955,139264,-3057.996826171875,71,10250.197265625,24179.044833374024,0.024560546875,160,0.003941855,-1.44977442715317,0.0003,0.0942346453666687,1.0327317714691162,0.2,-0.0029470384724845644,,
336.75,18,1961,147456,-2802.462890625,75,21400.703125,27525.940351867677,0.0369873046875,170,0.004863442,-1.4466260535642506,0.0003,0.08781200647354126,1.0291557312011719,0.2,-0.003777088062633993,,
338.08,19,1967,155648,-2804.502197265625,79,7849.99951171875,16895.455082702636,0.00712890625,180,0.0019657994,-1.4299973925575613,0.0003,0.18169933557510376,1.0025336742401123,0.2,-0.0015308727917727083,,
,,,160000,,,12096.1435546875,22967.67816772461,0.0093505859375,190,0.0019625798,-1.4111889319494366,0.0003,0.15118998289108276,0.9836621880531311,0.2,-0.001508836363973387,-1620.561767578125,320.2
340.95,20,1932,163840,-2786.468505859375,84,,,,,,,,,,,,,
340.74,21,1940,172032,-2645.83740234375,88,7647.25830078125,19482.13918762207,0.0107177734375,200,0.0021513493,-1.407676373049617,0.0003,0.1807665228843689,0.9908012747764587,0.2,-0.0015221387657220475,,
339.06,22,1949,180224,-2429.772216796875,92,12441.7880859375,14855.002059173585,0.015283203125,210,0.0026049898,-1.4107070280238987,0.0003,0.2788981795310974,0.9931700825691223,0.2,-0.0015431540370627772,,
333.98,23,1956,188416,-2249.6953125,96,5963.92626953125,10697.993320465088,0.00665283203125,220,0.0030093237,-1.408807204477489,0.0003,0.31250208616256714,0.9890568852424622,0.2,-0.000688690529204905,,
333.4,24,1963,196608,-2169.600830078125,100,3415.42041015625,11210.608451843262,0.01181640625,230,0.0018310229,-1.4173005647957324,0.0003,0.42382264137268066,1.0052086114883423,0.2,-0.0013701015250262571,,
,,,200000,,,7455.55126953125,16217.998258972168,0.0363525390625,240,0.0055041686,-1.423005516640842,0.0003,0.4136260747909546,1.0047084093093872,0.2,-0.0030460557089099895,-1989.684326171875,343.3
335.48,25,1937,204800,-2048.770751953125,105,,,,,,,,,,,,,
333.96,26,1944,212992,-2089.4306640625,109,4772.1015625,7913.567418289184,0.008544921875,250,0.0011191827,-1.4233489152044059,0.0003,0.5101761817932129,1.002742886543274,0.2,-0.0008040701131903916,,
338.73,27,1948,221184,-2050.78466796875,113,5019.94189453125,9923.964023590088,0.00255126953125,260,0.0006291251,-1.4147328531369567,0.0003,0.528722882270813,0.9883638024330139,0.2,-0.0004890775144303916,,
334.11,28,1954,229376,-1921.46826171875,117,3672.045166015625,6940.170203781128,0.013623046875,270,0.0035126086,-1.4114496346563101,0.0003,0.6261253356933594,0.9952446222305298,0.2,-0.0008820796145300846,,
329.42,29,1959,237568,-1875.3695068359375,121,3624.979736328125,10051.474374389649,0.03135986328125,280,0.004627063,-1.4140173336490989,0.0003,0.5474635362625122,0.9979085922241211,0.2,-0.0022978718562626454,,
,,,240000,,,3305.31005859375,9427.930683135986,0.0023193359375,290,0.0016271281,-1.4185251297429204,0.0003,0.5723342895507812,0.998619019985199,0.2,-0.00040677405395399545,-1933.8851318359375,357.7
333.74,30,1933,245760,-1933.194580078125,127,,,,,,,,,,,,,
328.63,31,1938,253952,-1871.9542236328125,130,3413.013916015625,10624.06700820923,0.0259765625,300,0.0021839505,-1.4119566371664405,0.0003,0.6144168376922607,0.989794135093689,0.2,-0.0021889470095629803,,
334.14,32,1943,262144,-1899.7237548828125,134,2414.32666015625,6455.10606880188,0.031201171875,310,0.0043822625,-1.4104624588042498,0.0003,0.6603584289550781,0.9939162135124207,0.2,-0.0026730504880106308,,
338.5,33,1949,270336,-1967.477783203125,138,3394.166015625,7791.079632186889,0.00965576171875,320,0.0026212889,-1.4114464042708277,0.0003,0.6969983577728271,0.9913712739944458,0.2,-0.0009541152503516059,,
337.31,34,1954,278528,-1968.143310546875,142,4653.9794921875,9750.176721954345,0.01268310546875,330,0.0018544215,-1.406392571516335,0.0003,0.6725291013717651,0.9871026277542114,0.2,-0.0013992297943332232,,
,,,280000,,,8675.5380859375,12974.99379272461,0.01263427734375,340,0.0022489927,-1.4048287147656082,0.0003,0.617796778678894,0.9855347871780396,0.2,-0.0011213208414119435,-1751.087646484375,332.6
335.69,35,1936,286720,-1951.1217041015625,148,,,,,,,,,,,,,
331.14,36,1940,294912,-1898.5556640625,151,2831.229248046875,5436.8866153717045,0.01619873046875,350,0.0032580313,-1.401881655678153,0.0003,0.7159397602081299,0.9826577305793762,0.2,-0.0013187293450755532,,
327.99,37,1945,303104,-1862.03466796875,155,3051.78466796875,6274.6303440094,0.001123046875,360,0.0003257686,-1.4074137954041361,0.0003,0.7355149984359741,0.9953532218933105,0.2,3.273642869316973e-05,,
329.76,38,1950,311296,-1757.048583984375,159,4527.7841796875,9345.167869567871,0.00194091796875,370,0.0016101117,-1.4217619309201837,0.0003,0.7121829390525818,1.0052716732025146,0.2,-0.00015727114077890292,,
336.29,39,1955,319488,-1769.2098388671875,163,3162.802734375,6814.058933639526,0.020654296875,380,0.0049165236,-1.426546535640955,0.0003,0.7519296407699585,1.00752592086792,0.2,-0.0015368742810096593,,
,,,320000,,,1545.078369140625,4498.185187911988,0.00377197265625,390,0.0011545124,-1.4272065000608563,0.0003,0.8167017102241516,1.0078074932098389,0.2,-0.0006646938010817394,-1574.191650390625,351.65
342.79,40,1935,327680,-1771.39697265625,169,,,,,,,,,,,,,
344.93,41,1936,335872,-1787.2598876953125,173,1883.8057861328125,3902.4910110473634,0.01446533203125,400,0.0038813986,-1.4217065995559097,0.0003,0.8530157804489136,0.9997512698173523,0.2,-0.001867788238450885,,
347.96,42,1940,344064,-1747.7861328125,177,3709.546142578125,7851.715589904785,0.03699951171875,410,0.004838098,-1.4145206049084664,0.0003,0.7584151029586792,0.9947528839111328,0.2,-0.0029607054701045856,,
351.07,43,1944,352256,-1855.60498046875,181,3220.03076171875,7783.319501495362,0.00242919921875,420,0.0005389288,-1.4175944423303009,0.0003,0.8037676811218262,1.001630425453186,0.2,-0.0004227788553180289,,
,,,360000,,,5958.947265625,9438.745835113525,0.00302734375,430,0.00045546723,-1.4213646918535232,0.0003,0.775996208190918,1.0055179595947266,0.2,-0.00011615470793913119,-1476.0736083984375,357.1
346.18,44,1929,360448,-1864.920166015625,186,,,,,,,,,,,,,
348.82,45,1933,368640,-1991.39794921875,190,3432.113525390625,6750.525830841065,0.03414306640625,440,0.004353859,-1.4221959007903933,0.0003,0.8042982816696167,1.0020525455474854,0.2,-0.0027436934442448546,,
335.76,46,1939,376832,-1798.9566650390625,194,5689.517578125,9201.85555267334,0.0410888671875,450,0.005318667,-1.4212102111428977,0.0003,0.7698013782501221,1.0014420747756958,0.2,-0.002686257813547854,,
330.81,47,1941,385024,-1721.1724853515625,198,2557.894775390625,4743.887822341919,0.00889892578125,460,0.0010978628,-1.4254247017204762,0.0003,0.8531087636947632,1.0091561079025269,0.2,-0.001032164851858397,,
334.36,48,1945,393216,-1651.7012939453125,202,3588.170654296875,6110.824863433838,0.0340576171875,470,0.0053947875,-1.4284237667918205,0.0003,0.8372474908828735,1.008589506149292,0.2,-0.00262349453769275,,
,,,400000,,,2522.750732421875,5692.050987243652,0.0182373046875,480,0.004966942,-1.4297688610851764,0.0003,0.8613004684448242,1.01040518283844,0.2,-0.0019754838009248487,-1262.278564453125,336.95
329.82,49,1933,401408,-1499.44287109375,207,,,,,,,,,,,,,
329.04,50,1937,409600,-1511.7183837890625,211,1798.728515625,3394.4236410140993,0.01138916015625,490,0.0015597532,-1.425507858581841,0.0003,0.8966866731643677,1.003018856048584,0.2,-0.0011142580609885045,,
332.66,51,1941,417792,-1542.634033203125,215,3629.1845703125,6553.040508270264,0.0060791015625,500,0.0020927123,-1.4223990892991423,0.0003,0.8418468832969666,1.0038635730743408,0.2,-0.00034498231289035173,,
333.95,52,1944,425984,-1583.2159423828125,219,2637.289794921875,7722.069032287598,0.0195556640625,510,0.0029270877,-1.4214270416647197,0.0003,0.8259067535400391,0.9996444582939148,0.2,-0.0019299568815767999,,
339.86,53,1948,434176,-1663.8258056640625,222,3505.304443359375,6265.152697753906,0.0048095703125,520,0.0016193923,-1.422072616033256,0.0003,0.8560100197792053,1.0046794414520264,0.2,-0.0007561858627013862,,
,,,440000,,,2809.599853515625,7850.033674621582,0.0006103515625,530,0.00040377048,-1.4294118424877524,0.0003,0.8346961736679077,1.0168087482452393,0.2,-0.00013737837325606962,-1091.0643310546875,329.5
346.08,54,1936,442368,-1735.599853515625,228,,,,,,,,,,,,,
343.33,55,1938,450560,-1706.1634521484375,232,2708.0947265625,5745.6134384155275,0.002783203125,540,0.001971658,-1.4299964958801865,0.0003,0.872692346572876,1.008927583694458,0.2,-0.0004102997252630303,,
333.7,56,1941,458752,-1489.3673095703125,236,2741.460693359375,5529.088251495361,0.00810546875,550,0.0008855021,-1.4347059953957797,0.0003,0.8706657290458679,1.0211427211761475,0.2,-0.0010973585413012188,,
328.48,57,1944,466944,-1454.4029541015625,240,1925.9615478515625,4832.333556365967,0.01082763671875,560,0.002264243,-1.4345307350158691,0.0003,0.8835828900337219,1.0107704401016235,0.2,-0.0008695606335095363,,
319.59,58,1947,475136,-1236.71484375,243,3610.65771484375,6662.272653198243,0.00516357421875,570,0.001234217,-1.4356239911168813,0.0003,0.8470718860626221,1.0187095403671265,0.2,-0.000573285671271151,,
,,,480000,,,1970.2584228515625,3588.9298751831057,0.00313720703125,580,0.00059543643,-1.4420984964817762,0.0003,0.9024893641471863,1.0261768102645874,0.2,-0.00048466837379237406,-1222.348388671875,334.05
323.08,59,1936,483328,-1250.0836181640625,249,,,,,,,,,,,,,
332.07,60,1940,491520,-1364.7177734375,253,2931.415283203125,5724.753672790527,0.00523681640625,590,0.0024260636,-1.440122315660119,0.0003,0.8484175801277161,1.0183711051940918,0.2,-0.0007751223129162099,,
334.07,61,1943,499712,-1319.9407958984375,257,2982.283203125,5933.453924179077,0.00277099609375,600,0.00096441165,-1.4348411552608014,0.0003,0.8536873459815979,1.0169429779052734,0.2,-0.0003382402010174701,,
338.64,62,1946,507904,-1383.2802734375,260,2214.68505859375,4396.711903381348,0.012451171875,610,0.0027909577,-1.4410988384857775,0.0003,0.8864685297012329,1.0251431465148926,0.2,-0.0008371084939426509,,
337.4,63,1949,516096,-1447.3355712890625,264,4921.439453125,6604.340411758423,0.0097900390625,620,0.0014549324,-1.4459638202562928,0.0003,0.8517848253250122,1.0286403894424438,0.2,-0.0008383711887290701,,
,,,520000,,,4189.3154296875,8538.199089050293,0.0162353515625,630,0.003711437,-1.4438591403886676,0.0003,0.8238704204559326,1.0233206748962402,0.2,-0.0015223159658489748,-1200.285888671875,329.55
334.45,64,1940,524288,-1391.5863037109375,270,,,,,,,,,,,,,
335.28,65,1942,532480,-1372.114990234375,274,2499.291748046875,4622.862054824829,0.009814453125,640,0.0031137706,-1.439291207678616,0.0003,0.8878387212753296,1.0196166038513184,0.2,-0.0010952706756143017,,
327.08,66,1945,540672,-1248.93603515625,277,1891.14501953125,4177.67793045044,0.02906494140625,650,0.0043717995,-1.4347800120711327,0.0003,0.8920810222625732,1.014057993888855,0.2,-0.002308007385545352,,
328.26,67,1947,548864,-1218.0863037109375,281,1929.7430419921875,4955.749360656739,0.01654052734375,660,0.0033872682,-1.4375456424430013,0.0003,0.8700754642486572,1.0192553997039795,0.2,-0.0012440214624803048,,
321.72,68,1950,557056,-1164.8634033203125,285,2286.244873046875,4875.258406066894,0.009033203125,670,0.0027962497,-1.432750179991126,0.0003,0.8698402643203735,1.011194109916687,0.2,-0.001128134742975817,,
,,,560000,,,2304.3828125,4543.1418533325195,0.00340576171875,680,0.0012158768,-1.439562070555985,0.0003,0.8834217190742493,1.0268919467926025,0.2,-0.00047665815509390086,-1069.337158203125,330.55
327.55,69,1941,565248,-1269.784423828125,291,,,,,,,,,,,,,
333.5,70,1944,573440,-1312.5623779296875,294,2004.18359375,5022.190379714966,0.00455322265625,690,0.000511908,-1.4506582362577318,0.0003,0.8764466047286987,1.0366278886795044,0.2,-0.0006592970439669443,,
333.83,71,1946,581632,-1262.6405029296875,298,1406.3837890625,4023.476678466797,0.007275390625,700,0.0018277264,-1.456105455197394,0.0003,0.8865892887115479,1.0372679233551025,0.2,-0.0006266257474635495,,
338.17,72,1948,589824,-1299.73095703125,302,2284.02099609375,4740.340324020386,0.0197265625,710,0.00362615,-1.4533443132415413,0.0003,0.8682674765586853,1.0326058864593506,0.2,-0.0017453606651542941,,
338.94,73,1950,598016,-1254.599609375,306,2163.832275390625,4673.559966659546,0.00950927734375,720,0.0033011618,-1.4435061246156693,0.0003,0.8632301092147827,1.0186491012573242,0.2,-0.0008541289815184427,,
,,,600000,,,3331.57763671875,4790.356198120117,0.01251220703125,730,0.002497844,-1.4402124693617224,0.0003,0.8805533051490784,1.0213133096694946,0.2,-0.0012095257030523498,-1124.016357421875,351.15
334.97,74,1940,606208,-1235.998046875,312,,,,,,,,,,,,,
333.28,75,1943,614400,-1261.87353515625,316,2207.172607421875,4440.423334884644,0.00355224609375,740,0.0010047869,-1.4310205670073628,0.0003,0.8721834421157837,1.0080208778381348,0.2,-0.0011312893651847845,,
338.92,76,1944,622592,-1285.1583251953125,320,1754.364990234375,4174.3203750610355,0.006884765625,750,0.0010628956,-1.4242432575672865,0.0003,0.8977226614952087,0.9997844696044922,0.2,-0.00038625290071649945,,
336.4,77,1945,630784,-1238.5345458984375,324,2274.66552734375,4161.925819778442,0.02833251953125,760,0.0040770136,-1.410265301540494,0.0003,0.884851336479187,0.9854632019996643,0.2,-0.0026616221151925857,,
334.76,78,1945,638976,-1213.81689453125,328,4307.80078125,7374.895715713501,0.016650390625,770,0.0016978965,-1.399749841913581,0.0003,0.8287688493728638,0.9764728546142578,0.2,-0.0014654456674179528,,
,,,640000,,,2022.319091796875,5398.932838058472,0.0170166015625,780,0.0040735835,-1.3878387989476324,0.0003,0.8565613031387329,0.9681856036186218,0.2,-0.0013360297032704693,-1209.291015625,350.05
334.3,79,1933,647168,-1209.567138671875,334,,,,,,,,,,,,,
332.18,80,1934,655360,-1221.4036865234375,338,1954.340087890625,4612.6484638214115,0.00606689453125,790,0.0024986612,-1.3797936929389834,0.0003,0.8739438056945801,0.9567888379096985,0.2,-0.0005451580149383517,,
332.36,81,1934,663552,-1210.496337890625,342,2299.840576171875,6569.472336196899,0.00535888671875,800,0.0010384407,-1.383672459051013,0.0003,0.8339052200317383,0.9723196029663086,0.2,-0.0008173549314960838,,
330.82,82,1936,671744,-1161.770751953125,346,2232.265869140625,3397.6305833816527,0.01527099609375,810,0.0019705314,-1.3929932111874224,0.0003,0.9110384583473206,0.9750253558158875,0.2,-0.0014332870321595692,,
331.75,83,1936,679936,-1130.145751953125,351,1407.31005859375,2843.2407203674315,0.02818603515625,820,0.004405273,-1.3887300506234168,0.0003,0.9063831567764282,0.9669036269187927,0.2,-0.0015628420951543376,,
,,,680000,,,1867.7491455078125,4710.292420196533,0.0015869140625,830,0.002648265,-1.380941105261445,0.0003,0.8706231117248535,0.9619919657707214,0.2,-0.0002359001198783517,-905.52734375,314.1
333.02,84,1927,688128,-1086.4613037109375,357,,,,,,,,,,,,,
325.53,85,1929,696320,-1006.6654663085938,360,1205.0751953125,3105.7659446716307,0.002978515625,840,0.00086895825,-1.3862480049952866,0.0003,0.8885878324508667,0.9710204005241394,0.2,-0.00017629897520237136,,
332.79,86,1931,704512,-1129.335205078125,364,2837.060302734375,4432.609382247925,0.0064697265625,850,0.0016793192,-1.3871774025261403,0.0003,0.8532793521881104,0.9683822989463806,0.2,-0.000775202690056176,,
331.52,87,1933,712704,-1157.0780029296875,368,3162.744873046875,4924.232294845581,0.0138671875,860,0.0027003586,-1.3805702717974782,0.0003,0.8572213053703308,0.9619321227073669,0.2,-0.0009714845740745659,,
,,,720000,,,1911.179443359375,4722.184354400635,0.0049560546875,870,0.0017584262,-1.3836004624143243,0.0003,0.8683071732521057,0.9661927223205566,0.2,-0.0005526231510884827,-912.7673950195312,325.9
334.92,88,1925,720896,-1134.281494140625,374,,,,,,,,,,,,,
340.81,89,1927,729088,-1226.1328125,378,2044.7613525390625,3533.900359916687,0.00228271484375,880,0.0014611052,-1.3858880132436753,0.0003,0.8977334499359131,0.9664167761802673,0.2,-0.000722172139921895,,
343.67,90,1928,737280,-1179.9697265625,382,3105.9345703125,5489.917583084107,0.0051025390625,890,0.0012730814,-1.378412052989006,0.0003,0.8589745163917542,0.955453097820282,0.2,-0.0005264853525659419,,
341.39,91,1928,745472,-1190.32568359375,386,1200.2904052734375,3782.0018985748293,0.0288818359375,900,0.0050689657,-1.3640351003035902,0.0003,0.9022935628890991,0.9442499876022339,0.2,-0.002442355372295424,,
337.17,92,1929,753664,-1142.4141845703125,390,2087.56298828125,3897.039559173584,0.01258544921875,910,0.0021876795,-1.3582406997680665,0.0003,0.8888319134712219,0.9404599666595459,0.2,-0.0011506598581036086,,
,,,760000,,,1395.2479248046875,2987.196004486084,0.02464599609375,920,0.0033551161,-1.3552265839651227,0.0003,0.9151793718338013,0.9370424747467041,0.2,-0.0020486092991632175,-946.35888671875,329.35
329.2,93,1923,761856,-1070.9053955078125,396,,,,,,,,,,,,,
327.93,94,1924,770048,-1092.4315185546875,400,2071.359375,4382.913467407227,0.01697998046875,930,0.0030451275,-1.3596455899998545,0.0003,0.8914549350738525,0.9468805193901062,0.2,-0.0017351975329802372,,
327.65,95,1926,778240,-990.71630859375,404,1839.312255859375,3583.3899326324463,0.01318359375,940,0.00097513676,-1.3607627099379898,0.0003,0.9072405099868774,0.9410822987556458,0.2,-0.001279922738467576,,
329.23,96,1927,786432,-986.7222900390625,408,1241.84228515625,2506.198836708069,0.00537109375,950,0.0020219688,-1.3603216491639614,0.0003,0.9211049675941467,0.942460834980011,0.2,-0.00043956282806902893,,
334.45,97,1928,794624,-1015.5606079101562,411,1924.3846435546875,3679.7155895233154,0.0153564453125,960,0.0029957641,-1.3567367255687715,0.0003,0.8800964951515198,0.9366174340248108,0.2,-0.001194100483917282,,
,,,800000,,,1190.395263671875,2765.1285388946535,0.007177734375,970,0.00088241324,-1.3625014869496226,0.0003,0.91956627368927,0.951649010181427,0.2,-0.000675870169288828,-788.792236328125,334.5
336.0,98,1923,802816,-959.676025390625,417,,,,,,,,,,,,,
342.77,99,1925,811008,-1018.385009765625,421,1131.17431640625,2808.686406517029,0.02808837890625,980,0.0035760377,-1.3660873955115675,0.0003,0.9074316024780273,0.9456707835197449,0.2,-0.0027622729670838454,,
341.37,100,1927,819200,-1030.067138671875,425,1387.822021484375,3443.501683425903,0.024072265625,990,0.0019508129,-1.35646493434906,0.0003,0.8917428255081177,0.9351564645767212,0.2,-0.00218503042779048,,
337.49,101,1929,827392,-961.9160766601562,428,1119.8878173828125,3399.347738647461,0.0275634765625,1000,0.0029492434,-1.3492397153750062,0.0003,0.8790449500083923,0.9322543144226074,0.2,-0.0026679923605115617,,
334.81,102,1930,835584,-925.62939453125,432,1417.531005859375,2828.6810611724854,0.01083984375,1010,0.0029763947,-1.3515375036746264,0.0003,0.9025464653968811,0.9359485507011414,0.2,-0.0013658956677318201,,
,,,840000,,,1164.1453857421875,2449.4307472229,0.01126708984375,1020,0.0018012362,-1.3441419465467335,0.0003,0.9090177416801453,0.9243344664573669,0.2,-0.0016300890951242764,-640.3515014648438,320.55
330.13,103,1925,843776,-905.2963256835938,438,,,,,,,,,,,,,
330.91,104,1927,851968,-927.217529296875,442,2453.67626953125,3290.275674247742,0.01728515625,1030,0.003111282,-1.3336816815659405,0.0003,0.8865860104560852,0.9169217944145203,0.2,-0.0017370727553498,,
326.35,105,1929,860160,-858.199951171875,445,873.9744873046875,3376.114095687866,0.01505126953125,1040,0.0028088824,-1.3343395037576555,0.0003,0.870723307132721,0.9188247323036194,0.2,-0.0014817793864494889,,
325.07,106,1930,868352,-835.3543090820312,449,1220.6834716796875,2471.5011894226072,0.0058349609375,1050,0.0021111765,-1.3335337694734335,0.0003,0.9059194326400757,0.919114887714386,0.2,-0.0010582362205695973,,
323.09,107,1931,876544,-758.1130981445312,453,733.7021484375,1848.587909603119,0.0171630859375,1060,0.0011334387,-1.3319233810529112,0.0003,0.9274117946624756,0.9136652946472168,0.2,-0.0013610060781502399,,
,,,880000,,,1007.8606567382812,1922.9332040786744,0.0367919921875,1070,0.0052732853,-1.328267869912088,0.0003,0.9212902188301086,0.9092622399330139,0.2,-0.0026830136053831665,-352.99603271484375,319.15
323.73,108,1925,884736,-764.367919921875,459,,,,,,,,,,,,,
328.12,109,1926,892928,-751.0940551757812,463,1458.02099609375,2848.5728355407714,0.00614013671875,1080,0.0020260122,-1.3149370934814215,0.0003,0.892130434513092,0.8945367932319641,0.2,-0.0016632433344057063,,
338.79,110,1927,901120,-861.6681518554688,467,1080.04443359375,2597.40133266449,0.01412353515625,1090,0.0032312744,-1.3040172167122364,0.0003,0.8985869288444519,0.8892948031425476,0.2,-0.0017089057921111817,,
340.28,111,1928,909312,-889.3199462890625,471,1204.4918212890625,2753.069232940674,0.041748046875,1100,0.0042497343,-1.2977268377318978,0.0003,0.8918687105178833,0.8869080543518066,0.2,-0.003758468438172713,,
337.95,112,1930,917504,-809.9656372070312,475,1218.8782958984375,2701.953297805786,0.0356201171875,1110,0.0042234603,-1.2999012866988777,0.0003,0.8914599418640137,0.8887413144111633,0.2,-0.00268639142086613,,
,,,920000,,,853.751953125,2669.2787784576417,0.00765380859375,1120,0.0020232848,-1.2941460451111197,0.0003,0.854789674282074,0.8782761096954346,0.2,-0.0019281967883216567,-392.46417236328125,321.75
329.03,113,1924,925696,-747.7432861328125,481,,,,,,,,,,,,,
317.21,114,1925,933888,-644.526123046875,484,955.0098876953125,2018.4192804336549,0.0188720703125,1130,0.0032382824,-1.277383198030293,0.0003,0.908711314201355,0.8617961406707764,0.2,-0.0019198986785340822,,
327.71,115,1927,942080,-732.0557861328125,488,831.1981201171875,2128.323560333252,0.0605712890625,1140,0.0060118753,-1.253749796561897,0.0003,0.8968192934989929,0.8436029553413391,0.2,-0.006003461261752818,,
333.22,116,1928,950272,-746.34375,492,936.8397827148438,2152.4942467689516,0.03814697265625,1150,0.0038980115,-1.2415803845971822,0.0003,0.888724148273468,0.8377678394317627,0.2,-0.003169353639532346,,
337.74,117,1929,958464,-767.5285034179688,496,1214.8013916015625,1938.713334274292,0.0205810546875,1160,0.0043671713,-1.23642442766577,0.0003,0.897975742816925,0.8301482796669006,0.2,-0.001221511101539363,,
,,,960000,,,786.806396484375,1489.9829205513001,0.026708984375,1170,0.0030924696,-1.219645112194121,0.0003,0.9258543252944946,0.8147353529930115,0.2,-0.002025872607191559,-292.4942321777344,337.55
340.1,118,1922,966656,-764.3449096679688,502,,,,,,,,,,,,,
339.02,119,1924,974848,-693.28857421875,506,780.4035034179688,1732.727219772339,0.0456298828125,1180,0.004802049,-1.2038090029731392,0.0003,0.910027265548706,0.8031874299049377,0.2,-0.003674022286759282,,
330.37,120,1925,983040,-612.98193359375,510,913.648681640625,1785.3360444068908,0.0158203125,1190,0.0024176599,-1.1926070822402834,0.0003,0.9014241099357605,0.7952601909637451,0.2,-0.0023044926623697394,,
321.19,121,1926,991232,-529.2220458984375,514,665.3616333007812,1597.3463856697083,0.02552490234375,1200,0.0039379457,-1.179545845091343,0.0003,0.9128990769386292,0.7809572815895081,0.2,-0.001817746306915069,,
319.79,122,1928,999424,-498.55889892578125,518,674.7816772460938,1864.2965090751647,0.0328125,1210,0.003350148,-1.1657379960641265,0.0003,0.9003442525863647,0.7742165327072144,0.2,-0.0031317375611251918,,
,,,1000000,,,866.5262451171875,1608.689315223694,0.0302490234375,1220,0.0029604663,-1.159917756728828,0.0003,0.9064531326293945,0.7709953784942627,0.2,-0.0032678458279406185,-374.9251708984375,360.7
318.54,123,1923,1007616,-454.7607727050781,523,,,,,,,,,,,,,
