#{"t_start": 1773658299.6232846, "env_id": "None"}
r,l,t
-6556.852,152,0.793379
-5381.1836,284,0.955612
-29364.496,384,1.075389
-3090.0972,394,1.085174
-5923.799,395,1.239884
-8781.069,313,1.289887
-10744.146,332,1.406971
-4420.3037,380,1.46156
-1194.1683,234,1.517757
-15256.511,407,1.64315
-4173.3174,389,1.796107
-12926.831,281,1.803045
-10168.488,378,1.845114
-7931.9326,327,1.983229
-4646.1387,173,1.987206
-2194.2737,228,2.086207
-5775.734,303,2.11582
-3057.6074,230,2.229277
-3063.8928,234,2.229341
-4158.405,199,2.297755
-7107.743,166,2.400089
-3585.7832,383,2.508801
-5602.0327,367,2.59749
-7708.79,278,2.672552
-10434.921,412,2.70458
-3623.6677,183,4.4583
-8192.912,403,4.484982
-5200.5015,325,4.499216
-8174.206,253,4.504735
-14842.985,206,4.697001
-3695.465,221,4.729412
-6449.4893,289,4.759222
-2850.2434,287,4.790712
-9699.414,186,4.921252
-5329.191,224,4.926644
-7822.8267,296,5.066132
-5120.647,145,5.075891
-6763.702,181,5.107172
-9746.648,339,5.143101
-12880.576,234,5.324602
-13411.278,266,5.348171
-9265.979,247,5.405084
-2278.4268,323,5.446078
-3410.315,175,5.500032
-3135.3152,170,5.573687
-11321.43,263,5.613915
-15279.559,230,5.680076
-5264.5664,248,5.757275
-13279.527,238,5.821611
-7849.932,224,5.847875
-4951.0186,269,6.038671
-6629.054,352,6.04878
-12646.6875,281,6.111536
-3800.049,273,6.127019
-6117.3457,283,6.339363
-1985.7163,231,6.351014
-18002.504,309,6.355035
-2312.194,236,6.37181
-2444.015,207,8.150557
-4338.1074,225,8.19679
-1963.5408,224,8.218861
-14448.008,422,8.403318
-1508.4266,229,8.43827
-3538.679,346,8.518383
-6118.952,389,8.611736
-5864.765,296,8.695409
-11816.97,274,8.708709
-6162.0586,184,8.790181
-5133.149,314,8.826316
-899.6628,269,8.979168
-4977.419,181,9.015261
-2926.1113,219,9.016298
-6626.5337,445,9.141492
-7154.4014,278,9.2943
-2261.747,423,9.404034
-2760.6174,405,9.421554
-3755.9697,396,9.539706
-1359.0168,218,9.621764
-1918.1868,330,9.623744
-8918.125,373,9.795491
-9081.078,207,9.831497
-13966.523,343,9.888633
-6893.6855,146,9.947566
-15041.582,333,9.962855
-3488.4353,208,10.042678
-9099.311,242,11.728781
-5467.1396,364,11.790024
-4838.304,211,11.792509
-9316.536,342,11.841194
-10252.559,262,12.025457
-4456.3267,380,12.213685
-7923.7715,427,12.265552
-4517.3345,414,12.288876
-6885.5884,238,12.291129
-4331.8984,242,12.519834
-8528.976,221,12.520952
-4592.3457,398,12.634751
-13645.491,330,12.640433
-7249.9297,252,12.796918
-1505.088,283,12.829767
-8844.485,277,12.93606
-11534.6875,391,13.08007
-3981.6035,338,13.168856
-4748.3535,297,13.261463
-12518.6045,416,13.27886
-4073.3145,221,13.304368
-4476.9873,197,13.458949
-12768.854,291,13.462852
-2911.4036,292,13.597758
-8172.91,358,13.638083
-4262.573,234,13.691892
-6011.0776,329,13.789722
-3252.1025,273,15.572845
-16102.625,391,15.67366
-3251.5278,248,15.727901
-4402.144,413,15.797183
-2898.219,225,15.907976
-1712.1002,259,15.991733
-22474.932,409,16.012161
-5267.657,192,16.195484
-2200.014,295,16.213737
-7544.614,412,16.22395
-2500.1472,301,16.328956
-2281.79,238,16.437799
-7673.2437,328,16.547531
-3321.7937,355,16.586153
-1996.1089,403,16.745286
-4865.6064,385,16.834498
-5452.443,283,16.875692
-15174.712,357,16.912796
-2754.3513,249,16.997091
-2668.3188,251,17.090835
-2518.9172,238,17.157809
-17164.404,464,17.349382
-3835.1985,301,19.241332
-12450.56,398,19.246508
-8611.037,378,19.38411
-3590.4219,213,19.409127
-3105.9333,285,21.145049
-8883.41,417,21.299473
-3430.0266,347,21.371938
-5684.2896,206,21.377994
-3263.4897,333,21.381948
-3593.296,295,21.596038
-6784.258,281,21.668462
-13864.018,378,21.755602
-7738.265,388,21.771719
-5800.994,266,21.872041
-4467.173,331,22.013837
-4665.092,296,22.071538
-6663.6567,322,22.119275
-7717.0312,418,22.313803
-2806.3862,292,22.321787
-2696.6785,282,22.362325
-4504.384,371,22.493187
-9067.217,281,22.595343
-1817.9266,300,22.667439
-5436.403,357,22.68281
-3321.6953,224,22.721575
-3744.7114,317,22.915958
-1524.9797,288,22.955678
-16655.623,307,23.028836
-5836.8975,429,23.113995
-4028.5886,243,24.859764
-5122.782,384,24.895293
-4962.8027,375,24.940359
-1095.5503,223,24.944405
-6761.5645,239,25.1526
-3682.656,296,25.247145
-18081.5,367,25.25968
-3906.4,322,25.2764
-1148.1799,265,25.512772
-4665.292,389,25.549742
-7544.159,308,25.572354
-14167.623,354,25.641616
-5140.265,245,25.770655
-1396.6964,249,25.811522
-4663.205,228,25.877856
-3309.8145,315,25.904253
-7232.106,273,26.052396
-555.5427,234,26.053439
-10032.435,432,26.324941
-7810.455,427,26.345188
-10550.551,319,26.385272
-9752.849,380,26.441389
-2375.3687,312,26.635201
-1383.513,308,26.652
-1078.98,262,26.706995
-11836.877,399,26.789153
-2375.9346,360,28.773962
-2848.5088,314,28.802294
-8148.277,422,28.859323
-3510.2788,379,28.950857
-2386.404,337,29.134611
-10958.519,329,29.20543
-9433.874,384,29.206552
-1979.6587,258,29.223603
-2596.9512,304,29.522782
-3561.76,308,29.525692
-5418.4434,425,29.572527
-2223.9407,392,29.626769
-4790.648,244,29.769177
-6643.8203,296,29.822739
-3476.0913,373,30.007819
-13785.76,472,30.053766
-13592.527,310,30.087788
-1172.2483,315,30.146161
-4346.671,211,30.223821
-1421.5371,262,30.319592
-3873.7559,286,30.429981
-7900.202,383,30.471332
-7607.03,367,30.590823
-3918.5728,307,30.745657
-6690.326,437,30.763821
-5184.032,360,32.475899
-4750.9624,434,32.698325
-1757.143,288,32.719488
-3386.0315,257,32.766122
-6391.7026,398,32.809995
-772.5358,255,32.957894
-1694.1277,322,33.048317
-2103.2473,312,33.131137
-2267.8281,376,33.150073
-1759.1755,242,33.206026
-4105.0117,222,33.273806
-4332.701,253,33.387033
-3876.573,337,33.493147
-5974.6826,357,33.567298
-3389.575,306,33.585075
-5322.8022,317,33.710396
-4739.939,252,33.824944
-7623.2993,413,33.920563
-3432.4949,273,33.996519
