#{"t_start": 1773658299.6232846, "env_id": "None"}
r,l,t
-3147.7153,405,34.004626
-2219.834,271,34.20266
-3493.5146,236,34.241835
-11634.872,398,34.241875
-6781.252,407,34.429794
-4915.1094,368,36.237683
-12991.405,410,36.242202
-8221.915,394,36.279382
-18686.662,477,36.610147
-4021.9802,337,36.659006
-7187.304,323,36.671124
-10692.526,400,36.72383
-4927.9785,321,36.989928
-7453.287,452,37.060733
-7656.5923,408,37.065527
-11037.621,363,37.086286
-3562.796,329,37.323237
-7982.426,284,37.353435
-4186.724,298,37.388358
-6834.167,402,37.466341
-2706.5222,261,37.653706
-4584.208,379,37.706572
-8461.69,401,37.758775
-5288.698,377,39.514125
-1093.4019,218,39.648018
-6614.411,350,39.678261
-6507.2935,315,39.696543
-2123.7483,242,39.910094
-5978.9165,404,39.946847
-1711.6576,242,39.959619
-2239.6633,332,41.588068
-1533.8673,240,41.78068
-9426.8955,383,41.892369
-6613.273,416,41.971476
-2237.4717,414,42.04403
-7061.7886,450,42.246381
-4337.729,363,42.269334
-1274.1072,266,42.318998
-9109.366,354,42.336399
-1666.12,287,42.556129
-3391.4846,250,42.589309
-5377.6187,322,42.645241
-6553.4243,433,42.682796
-2000.4037,244,42.837615
-10091.693,418,42.987101
-6476.005,376,43.031444
-3397.7554,283,43.129796
-10337.524,464,43.161303
-1407.141,243,43.238947
-1173.166,221,43.392026
-3916.8506,350,43.396161
-11802.695,358,43.499706
-3939.9143,409,43.674629
-2550.6501,261,43.678266
-1861.5696,222,45.461748
-8552.457,405,45.558113
-2556.4446,330,45.771098
-7137.314,383,45.822024
-4373.9863,259,45.84125
-8007.6055,346,45.855576
-857.59326,233,46.063902
-5700.217,363,46.144398
-4696.235,403,46.271894
-1816.0087,226,46.29691
-8095.889,466,46.324751
-3862.6553,259,46.412279
-3545.7136,300,46.578997
-5599.6577,280,46.583416
-6738.3066,324,46.660576
-1467.708,246,46.669733
-3939.8728,291,46.882596
-974.74384,294,46.973074
-3825.0764,348,47.018182
-4879.4556,432,47.03219
-2735.5466,299,47.193616
-5473.664,236,47.262452
-3130.335,335,47.315269
-8596.156,298,47.336577
-804.04944,245,49.074308
-10778.667,406,49.131349
-3680.7292,322,49.207504
-10986.641,398,49.207552
-9660.603,389,49.515528
-5316.7905,379,49.544669
-5165.6543,337,49.562114
-5871.4106,383,49.608857
-10210.384,338,49.85814
-1386.7864,314,49.863498
-5998.6104,426,49.999
-15681.073,450,50.072944
-648.14014,233,50.106385
-2314.9424,219,50.2271
-7233.4272,377,50.249609
-1229.1417,251,50.326711
-915.17175,232,50.340137
-2211.8828,312,50.555872
-1363.5277,277,50.615175
-15412.894,397,50.619799
-1901.5592,420,50.748623
-747.8938,251,50.87525
-2161.3262,323,50.889353
-1615.9486,279,50.9071
-3541.0098,442,52.680271
-6748.853,425,52.816793
-9179.002,444,52.860769
-13334.724,436,52.873585
-1760.4988,235,53.115454
-8389.112,415,53.151941
-4946.4746,368,53.213001
-7216.445,352,53.231634
-1288.6025,281,53.413533
-2773.941,268,53.432781
-3476.2434,280,53.519262
-7774.056,354,53.577452
-2521.2795,362,53.784338
-8492.39,365,53.808483
-3420.2136,345,53.877526
-4061.8447,400,53.994208
-1465.5765,274,54.071239
-1270.6958,227,54.117477
-13822.026,463,54.293244
-2417.9707,284,54.36836
-10559.536,426,54.440987
-5476.4395,398,54.528021
-5424.7383,395,54.699492
-1967.2559,266,54.712985
-3230.8667,388,54.767124
-3519.0315,296,54.835309
-1211.0598,254,56.538907
-1011.88684,214,56.555885
-1033.7749,224,56.635948
-7198.415,441,56.728755
-3123.7332,250,56.811676
-3988.1418,321,56.895439
-3321.4958,242,56.981129
-4291.0137,331,56.983171
-2333.9607,246,57.06193
-1741.7834,270,57.255656
-3894.598,367,57.270314
-3042.2542,239,57.305579
-9175.919,437,57.422471
-2047.558,275,57.541824
-1604.6752,350,57.604971
-3603.0486,346,57.649418
-1235.044,219,57.772754
-1405.5125,250,59.655541
-6781.8726,464,59.685022
-1815.1929,290,59.737995
-2864.846,344,59.913319
-2012.1843,273,59.968772
-1583.0847,311,59.978927
-2876.1375,229,59.979903
-1728.8573,377,60.307132
-5408.58,383,61.889751
-8048.5283,419,61.924083
-5698.7183,428,61.963359
-1013.97424,275,62.148669
-2154.9424,291,62.279836
-4066.2776,334,62.303681
-4761.1357,367,62.3095
-1250.6001,221,62.524725
-4314.6885,411,62.562789
-1662.6438,270,62.579886
-2546.3691,339,62.618276
-1275.7119,314,62.905149
-6383.0957,382,62.936021
-3857.9072,383,62.992174
-9865.288,400,63.051164
-2547.005,288,63.202103
-2797.1707,222,63.223251
-4591.4106,330,63.275519
-4066.5156,300,63.355824
-1415.3085,276,63.481685
-3028.6182,303,63.529679
-2654.5637,274,63.552144
-4925.8657,334,63.699779
-2640.1292,325,63.814544
-3301.9163,332,63.870587
-6802.9204,464,65.586338
-8936.882,384,65.670691
-1804.1321,348,65.76165
-2739.8574,388,65.86359
-3015.3232,358,65.99729
-1781.5663,300,66.001363
-3467.749,405,66.185757
-3480.7925,361,66.238755
-2010.318,305,66.312519
-2150.8254,315,66.318469
-1434.0024,287,66.487036
-1108.1088,271,66.52567
-2368.0493,273,66.61085
-5252.6367,413,66.781533
-1002.6466,248,66.90247
-3452.7715,330,66.911302
-4422.127,377,66.926072
-3901.2776,336,67.163835
-1033.1399,257,67.208002
-2700.2131,340,67.272531
-5496.6504,361,67.300711
-1758.5363,326,67.537867
-1240.8173,263,67.56734
-8669.493,427,67.597727
-7877.9346,387,67.661327
-2812.3054,343,69.52053
-3960.5696,417,69.536372
-2994.2942,318,69.561579
-7447.0415,430,69.577394
-1045.3844,252,69.767712
-1999.7098,321,69.879479
-6769.992,395,69.931285
-7016.6875,419,69.996536
-2695.0938,304,70.076024
-3668.621,259,70.188519
-531.2889,228,70.222152
-4152.7495,417,70.300201
-2955.5703,354,70.432724
-2257.6968,302,70.495003
-5412.5425,297,70.60622
-6251.449,409,70.643948
-2078.9106,336,70.781954
-1745.7244,355,70.870759
-3416.4514,356,71.023318
-3109.7805,419,71.049419
-2353.187,318,71.11897
-1237.0522,259,71.286669
-4344.555,424,71.309485
-745.2148,273,71.326079
-7035.8535,457,73.175354
-3993.771,354,73.235944
-1701.734,357,73.279146
-2168.9072,394,73.298468
-2183.5017,242,73.417529
-1907.2521,295,73.573588
-1350.1576,303,73.602077
-4158.9565,432,73.671325
-1594.8484,267,73.688411
-1515.6803,309,73.892167
-3567.6558,375,73.989048
-2873.7698,325,74.004926
-2669.2024,353,74.047973
-3101.5334,260,74.267243
-2936.4033,399,74.296186
-4039.0046,409,74.39948
-7244.646,407,74.458098
-1494.7792,253,74.519984
-9195.418,407,74.704786
-5494.8115,402,74.804734
-2296.4329,349,74.810121
-4941.9043,314,74.836734
-788.14417,247,76.612159
-3573.0017,401,76.642081
-3681.4158,346,76.699618
-7554.058,474,76.862666
-817.4887,257,76.943136
-3351.5266,295,76.958846
-1788.4445,322,77.055231
-1831.3535,303,77.260547
-5860.147,429,77.307858
-3283.655,342,77.316128
-1842.8292,329,77.396732
-2731.3076,329,77.632515
-3730.2646,402,77.658674
-3821.6887,389,77.703415
-4548.842,423,79.52073
-1559.9102,273,79.612562
-2267.4897,355,79.724851
-117.50986,243,79.76971
-3112.4636,385,79.797275
-2128.0525,273,79.892876
-1912.8024,319,80.131534
-2602.665,397,80.138969
-4441.8354,417,80.206425
-6661.3564,431,80.343993
-1732.5731,237,80.375951
-2220.8474,221,80.429675
-3783.3955,350,82.025953
-1171.6501,231,82.237794
-2492.5347,293,82.245897
-3676.934,424,82.345656
-4029.2256,338,82.411592
-1505.7184,226,82.472113
-6523.3735,417,82.66273
-2502.0073,252,82.670009
-2993.7664,306,82.789967
-6050.492,465,82.823204
-2275.7964,340,83.012047
-5278.3096,432,83.111883
-8790.679,432,83.229948
-5915.487,425,83.255825
-776.4034,247,83.263563
-1429.0846,247,83.360415
-2748.0298,273,83.509589
-2652.5237,316,83.585569
-2535.5522,277,83.643711
-5142.1494,485,83.74817
-1511.9059,244,83.755355
-2251.0698,374,83.962801
-733.03046,249,83.999137
-2585.5527,380,84.031198
-2204.7883,398,85.686234
-1491.5173,231,85.826966
-3544.696,333,85.863201
-3334.0266,362,85.931118
-509.62073,268,85.994468
-2504.488,326,86.180439
-2990.3706,378,86.27372
-653.70996,305,86.330331
-3824.2656,427,86.393088
-3017.2603,421,86.611101
-882.8971,325,86.663679
-5000.1147,426,86.714049
-5058.391,394,86.80289
-855.53973,224,86.899923
-1316.6539,285,86.915873
-3308.3186,312,87.037425
-926.3989,259,87.167871
-3865.999,397,87.212778
-1312.3805,295,87.220834
-2340.8281,281,87.332821
-1126.672,286,87.515347
-1972.8813,392,87.570474
-3509.8164,430,87.655624
-3134.0076,404,87.74347
-2339.7437,328,89.395683
-2425.005,286,89.413625
-3949.7654,404,89.647322
-1491.6543,234,89.682525
-1480.3939,371,89.701961
-977.85394,277,89.711859
-3740.7058,323,89.976612
-2838.8386,263,89.981902
-3044.4475,314,90.00292
-6763.86,421,90.132073
-2188.434,271,90.256618
-1923.3926,320,90.331573
-8456.576,445,90.439015
-2015.445,331,90.481628
-1070.7919,239,90.595014
-4136.0034,387,90.683253
-1176.7212,235,90.704476
-1910.9612,305,90.833004
-1182.7124,306,90.958537
-4698.062,354,91.132563
-4935.441,371,91.132597
-1589.1979,240,91.252894
-3374.1868,349,91.260567
-3376.6523,411,91.57707
-6321.1313,437,93.393071
-5099.9395,388,93.464932
-2361.6067,386,93.471712
-2290.4524,276,93.714509
-1206.4203,278,93.752541
-1470.0693,329,93.881515
-5774.1616,382,93.929769
-3027.4756,345,94.09847
-5799.6772,330,94.112735
-5977.465,350,94.240883
-1648.8057,308,94.246975
-2301.2324,352,94.476193
-1050.7094,268,94.518249
-4051.079,415,94.528212
-2304.6572,360,94.621731
-1975.9135,239,94.766989
-4670.176,397,94.893565
-1505.5814,326,94.96483
-5935.7065,428,94.97865
-2392.1216,317,95.093425
-2004.5493,284,95.18446
-2193.3567,304,95.289782
-1825.5485,420,95.395506
-2506.743,334,95.443565
-3089.126,404,97.126378
-1366.2052,254,97.200086
-5418.727,446,97.324503
-2370.5977,395,97.420319
-2018.2383,387,97.570474
-4141.914,403,97.644196
-484.3363,239,97.667832
-3836.947,459,97.794547
-846.24164,225,97.873852
-3545.9036,404,98.003559
-2033.4918,360,98.052468
-2611.1218,342,99.978444
-6124.069,481,100.038471
-1056.5115,374,100.12352
-1631.5316,396,100.194015
-902.5226,275,100.257832
-2027.6779,323,100.449376
-4427.9854,452,100.497203
-1562.1704,305,100.50228
-791.14606,275,100.534887
-1324.2565,260,100.709541
-1784.554,274,100.770132
-626.67175,255,100.788673
-4690.439,366,100.864407
-1610.7316,334,102.635594
-1276.4736,271,102.659013
-830.36725,274,102.770552
-5704.328,463,102.865212
-1384.7274,269,102.947325
-1549.8135,327,103.026704
-807.8769,249,103.029999
-1663.2452,257,103.209134
-5673.04,446,103.32299
-2099.396,314,103.348093
-2454.6492,410,103.44076
-1967.1572,320,103.650765
-1969.3868,431,103.65187
-2570.0483,307,103.664028
-3604.5618,403,103.865118
-895.91974,238,103.901155
-1351.6354,286,103.952576
-3287.375,356,104.037075
-2487.9473,298,104.216958
-1927.9441,300,104.269987
-1460.517,405,104.291391
-2223.1943,422,104.481449
-2915.4927,276,104.504127
-3171.6685,293,104.573012
-1132.4994,284,104.583515
-1447.5723,407,106.49654
-4038.064,374,106.573209
-5407.9023,456,106.577942
-1721.6466,398,106.588669
-749.5204,297,106.838645
-799.9742,226,106.838698
-1623.1786,325,106.969098
-2668.1804,402,107.059134
-1935.6945,341,107.247186
-4165.038,406,107.317853
-1629.2278,235,107.318884
-1975.6223,369,107.388905
-630.2484,237,107.560847
-4933.3022,395,107.659219
-4437.367,416,107.752798
-4604.973,441,107.856615
-2000.2407,342,107.927527
-1319.9369,258,107.935426
-4370.7666,373,108.148021
-1351.977,343,108.220569
-1039.2943,269,108.22156
-5060.1294,380,108.329883
-889.85095,227,108.386674
-798.83203,313,108.539033
-2402.7952,315,110.187392
-5238.336,422,110.193067
-2468.247,355,110.31441
-996.086,217,110.440172
-1325.4998,367,110.482957
-1418.979,264,110.58251
-2819.2375,396,110.623685
-3444.4211,378,110.840595
-1745.8027,393,110.901514
-1377.3252,323,110.932819
-1105.4883,307,110.957769
-660.63293,249,111.098512
-710.0706,237,111.147458
-688.03156,256,111.196512
-647.063,243,111.34777
-4262.837,385,111.352951
-1480.1887,247,111.397837
-4372.016,368,111.568905
-599.90625,233,111.584023
-1599.4314,265,111.666208
-5391.5083,440,111.800623
-3319.7803,389,111.970462
-1840.8447,433,112.036258
-1753.3044,252,112.066663
-2787.3923,428,112.113428
-295.38934,295,113.777284
-1479.4269,243,113.906093
-4985.656,384,114.013578
-3608.0696,420,114.0185
-2553.691,340,114.179672
-1582.7264,348,114.272119
-1264.0417,293,114.311698
-1819.5319,301,114.324469
-512.9238,336,114.515399
-2345.8374,312,114.585065
-2205.5942,350,114.676469
-5567.574,475,114.791025
-1179.1979,284,114.80545
-890.75934,328,114.920376
-955.7256,342,115.03372
-812.8154,266,115.074032
-290.50958,260,115.083552
-903.626,229,115.167863
-797.3307,221,115.39853
-3283.1492,403,115.457031
-2112.012,376,115.47602
-2696.0642,453,115.547547
-848.43915,288,115.698329
-628.6086,227,115.7131
-1922.741,328,115.797302
-1017.02734,253,115.808164
-473.81183,283,117.530989
-616.78894,304,117.582799
-1636.1317,333,117.725468
-5717.2573,434,117.844259
-1044.5413,303,117.889505
-1544.0906,248,117.987022
-6952.0947,413,118.041045
-579.112,255,120.046614
-3824.7583,386,120.140852
-1519.498,282,120.172997
-1987.7247,350,120.292279
-1996.292,231,120.405141
-6176.3867,439,120.496354
-4677.1787,461,120.611764
-1392.0308,328,120.632226
-3318.367,371,120.793034
-3177.7607,400,120.914119
-3016.4458,409,121.032786
-2842.678,411,121.054529
-2792.7168,364,121.164576
-2483.3125,374,121.295318
-2018.1079,336,121.375449
-1444.0105,361,121.42547
-566.7406,232,123.122618
-3218.2378,396,123.178248
-2355.706,282,123.353564
-1801.2227,339,123.363672
-1131.7974,391,123.573651
-1173.82,415,123.636103
-2901.9956,305,123.667728
-2757.6843,349,123.723604
-470.59875,269,123.910556
-3203.0637,333,123.914995
-1358.9539,369,124.048151
-3651.2144,433,124.171225
-1128.8401,272,124.194113
-696.0139,279,124.206204
-759.7787,223,124.278987
-1633.5774,231,124.440905
-2084.0125,337,124.515108
-1201.1195,269,124.552561
-3087.603,369,124.571923
-1398.5934,309,124.761387
-674.3563,261,124.826009
-1462.8715,272,124.858767
-4883.364,463,125.004912
-1139.1412,311,125.09315
-822.4935,311,125.190175
-839.8085,341,125.19125
-3581.2292,414,126.997422
-2123.484,271,127.0307
-2754.967,388,127.05692
-2338.535,302,127.061043
-542.47174,219,127.289071
-931.50415,272,127.3482
-1600.2064,363,127.408306
-4124.475,416,127.428589
-705.7294,257,127.551787
-2418.7275,357,127.715838
-1995.6101,328,127.749191
-7783.7744,486,127.928499
-940.9131,219,127.937526
-3961.3452,411,127.972056
-972.8992,237,127.986517
-2361.4055,369,128.307528
-932.9399,328,128.325891
-1946.4333,377,128.359326
-2397.8633,425,128.374058
-1183.4547,260,128.627258
-1438.6552,303,128.636561
-4135.6597,410,128.72595
-3385.7136,410,128.794599
-732.18024,295,128.944441
-2328.7078,379,130.574855
-4734.777,436,130.771125
-1116.7097,428,130.831421
-502.1195,362,130.911573
-1936.3105,335,130.959706
-715.7999,223,131.148995
-2502.1226,317,131.169096
-2290.9495,430,131.226726
-3334.1255,374,131.351421
-2678.508,259,131.433493
-2016.4453,380,131.536871
-1684.997,315,131.548221
-1069.0077,257,131.618911
-1262.0239,386,131.845627
-2122.0625,346,131.91185
-1127.0085,348,131.993212
-4720.6357,457,132.036989
-1088.6327,282,132.137001
-1155.2959,312,132.310441
-3160.9138,413,132.333621
-3411.6587,409,132.453603
-2277.554,433,132.579038
-2911.0173,299,132.616463
-234.12633,229,134.249778
-4109.1357,362,134.270675
-144.39166,216,134.407319
-925.6595,241,134.571537
-3181.4155,424,134.669072
-2447.3142,379,134.697654
-1461.8705,398,134.83035
-685.91125,296,134.999848
-2424.785,427,135.008737
-1300.9341,360,135.039555
-991.5463,344,135.182843
-1851.4349,251,135.255044
-2439.128,282,135.324984
-3278.3,367,135.379065
-1854.6956,314,135.498741
-1056.6318,260,135.518525
-524.42633,312,135.645178
-1726.7963,281,135.789784
-5769.2324,434,135.828628
-1883.7234,349,135.879667
-3793.0818,407,136.064207
-622.9538,235,136.069469
-3487.2527,370,136.167236
-2582.4534,407,136.296168
-1113.8403,356,137.979221
-686.0355,361,137.992054
-1141.9066,303,138.042537
-2491.9763,373,138.266084
-1514.0814,250,138.282356
-608.05176,234,138.305996
-942.48456,319,138.343651
-2168.2747,330,140.419055
-1429.9956,327,140.454643
-1136.9072,355,140.460433
-862.45044,356,140.519324
-498.4532,259,140.719418
-2264.285,383,140.811127
-1642.7596,356,140.824958
-1398.0903,397,140.9312
-786.2919,220,140.949503
-1334.6571,334,141.162477
-1517.8602,360,141.206937
-730.20105,293,141.241376
-3479.6882,418,141.386142
-1742.981,317,141.490908
-2453.5425,280,141.527288
-1998.1938,380,141.594244
-618.06335,223,141.719131
-1002.6808,393,141.791877
-1092.7844,294,141.832801
-403.59213,261,141.868145
-1241.2473,279,143.561816
-72.555756,220,143.57476
-1631.6022,309,143.756238
-1456.6368,395,143.809634
-1349.1858,283,143.875791
-928.69385,369,143.976287
-1071.4381,352,144.121458
-604.115,244,144.125859
-2260.5896,417,144.241939
-2278.5723,364,144.346091
-1100.8944,247,144.379031
-936.90356,283,144.409258
-67.847534,224,144.467557
-1258.1006,237,144.655396
-2397.5144,357,144.712556
-1138.3849,362,144.839241
-3898.5151,468,144.854757
-255.19283,266,144.92052
-728.23627,299,145.009816
-3972.9128,365,145.212304
-3717.907,415,145.278349
-1858.9541,375,145.305492
-1052.2653,364,145.386539
-1199.5392,301,145.519953
-832.31067,235,145.546966
-1428.5913,336,147.217181
-358.5348,256,147.252211
-500.33276,249,147.402889
-728.6104,338,147.515936
-952.74835,290,147.568116
-3314.4395,390,147.645241
-2420.9072,312,147.837304
-1304.286,431,147.841946
-1007.6247,266,147.844195
-1214.9495,258,147.911817
-877.8381,283,148.140323
-996.843,294,148.145304
-1015.29297,317,148.172549
-3335.348,418,148.342941
-784.17505,343,148.490752
-3623.3054,370,148.523021
-989.2951,351,148.531079
-4662.1963,454,148.81541
-1090.948,315,148.862436
-1860.0437,430,148.939567
-4644.5435,430,148.972864
-688.7449,226,149.175769
-1064.3862,313,149.187721
-3574.4934,427,149.260736
-2132.4236,323,149.311611
-2034.602,288,151.129711
-1152.3119,246,151.220224
-1935.7789,426,151.286481
-229.40611,236,151.374293
-3374.5745,474,151.408359
-489.49225,405,151.644622
-854.31665,280,151.672161
-2162.6958,395,151.701936
-4780.8506,476,151.912188
-480.7481,246,151.929569
-3872.1887,394,152.052881
-1970.176,430,152.14807
-1458.0593,332,152.255107
-584.35095,353,152.294663
-803.65283,255,152.320923
-3967.0615,379,152.535167
-1021.38196,292,152.592254
-3809.8438,458,152.727012
-1468.7231,408,152.741336
-430.6734,314,152.865458
-478.07657,283,152.887553
-811.17633,228,152.960602
-996.5462,322,153.073645
-1667.0543,303,154.688114
-806.66113,264,154.771833
-910.05396,353,154.791775
-4141.343,389,155.014046
-499.94617,261,155.059944
-1362.0127,337,155.124598
-3288.1804,400,155.132374
-329.80103,341,155.370164
-884.474,288,155.428033
-1351.222,426,155.502275
-4443.173,448,155.584193
-2124.76,406,155.785203
-2675.475,391,155.829087
-3046.8188,384,155.897567
-3000.5278,425,156.023888
-654.094,280,156.076381
-612.3152,258,156.097959
-1064.7611,229,156.133454
-2596.802,389,156.425408
-905.7093,352,156.460156
-1129.1943,335,156.479486
-1238.6492,435,156.523433
-1040.7113,296,158.278491
-2118.1582,330,158.299803
-3570.647,424,158.382526
-661.98047,347,158.407463
-964.1679,321,160.522664
-667.5696,310,160.528188
-1956.9929,399,160.681201
-1285.5986,421,160.723882
-1367.0399,304,160.839038
-2504.96,393,160.935112
-604.99756,352,161.087985
-1984.1904,417,161.11476
-1068.8944,271,161.214088
-873.25195,382,161.230926
-2285.3467,339,161.461856
-760.23267,365,161.464036
-607.8554,367,161.613429
-1647.6155,403,161.633526
-89.23688,217,161.690943
-2941.9998,423,161.90756
-1316.4526,306,161.934068
-1323.9291,301,162.005906
-598.98676,370,162.018054
-872.0344,281,162.203284
-128.8035,258,162.281993
-1349.4109,260,162.298757
-1213.0414,384,163.80099
-1525.2439,259,164.061391
-1667.0986,370,164.084827
-1110.0415,327,164.181021
-742.36145,394,164.197645
-2244.931,394,164.477111
-3770.2837,457,164.570416
-711.9579,391,164.603853
-772.49713,429,164.629547
-1960.8275,372,164.875069
-1183.2114,343,164.96677
-2151.6582,344,164.994623
-4300.1187,450,165.048089
-850.9369,287,165.173635
-256.35388,273,165.251464
-3144.2202,414,165.42617
-2619.6787,428,165.490208
-642.25806,296,165.555697
-1131.4323,377,165.561906
-990.11145,263,165.759055
-1865.1682,344,165.778795
-269.0687,355,165.929005
-3803.08,434,167.539022
-469.5691,279,167.614614
-4708.7627,406,167.745419
-3009.0955,407,167.910319
-3132.5012,367,168.014349
-4308.734,447,168.039092
-4234.3477,452,168.224161
-907.90137,218,168.276875
