time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/loss,train/n_updates,train/entropy_loss,train/learning_rate,train/explained_variance,train/clip_fraction,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
302,74,2003,-1039.01806640625,606208,334.65,,,,,,,,,,,,,
306,75,2005,-1025.0294189453125,614400,333.89,2284.614539527893,1097.975830078125,740,-1.363742671906948,0.0003,0.9547573328018188,0.0087890625,0.9368372559547424,0.2,-0.0008288194891065359,0.0016496661,,
310,76,2007,-1033.8095703125,622592,338.98,2285.7790912628175,760.2425537109375,750,-1.352898534014821,0.0003,0.9533599615097046,0.033447265625,0.9343745112419128,0.2,-0.0028179155435282153,0.003684767,,
313,77,2009,-969.337890625,630784,335.38,2397.1164712905884,804.8634643554688,760,-1.3413104170933365,0.0003,0.95435631275177,0.02501220703125,0.9190446734428406,0.2,-0.0029388854440185242,0.00248707,,
317,78,2011,-992.68896484375,638976,340.86,2808.3207042694094,826.3467407226562,770,-1.334616644307971,0.0003,0.9536494612693787,0.01328125,0.917483925819397,0.2,-0.0005322719371179119,0.0018652685,,
,,,,640000,,2949.7599433898927,1125.5892333984375,780,-1.3273172613233328,0.0003,0.9542943239212036,0.01888427734375,0.9076263904571533,0.2,-0.0015384197171442794,0.0023724292,337.8,-828.8201293945312
323,79,2001,-983.5379028320312,647168,342.88,,,,,,,,,,,,,
327,80,2003,-968.2457275390625,655360,341.41,2403.909223365784,1226.9454345703125,790,-1.3245401959866285,0.0003,0.9529662728309631,0.01982421875,0.9125329852104187,0.2,-0.00021988031530781882,0.0022241394,,
330,81,2004,-940.6914672851562,663552,342.35,2875.386817741394,1313.6993408203125,800,-1.322928098961711,0.0003,0.9544032216072083,0.00859375,0.9085073471069336,0.2,-0.00046796750721114224,0.0026588328,,
334,82,2006,-814.7579956054688,671744,334.0,1901.0356506347657,984.9117431640625,810,-1.3269252736121415,0.0003,0.9494977593421936,0.023779296875,0.9162333011627197,0.2,-0.00047739320161781506,0.0014463986,,
338,83,2009,-777.6842041015625,679936,331.32,1221.2692915439607,577.2537231445312,820,-1.334988290257752,0.0003,0.9505807757377625,0.01536865234375,0.9214538335800171,0.2,-0.0006909886873472715,0.0016579493,,
,,,,680000,,2290.698843765259,1145.94775390625,830,-1.3245905516669154,0.0003,0.9431233406066895,0.0169189453125,0.9000112414360046,0.2,-0.0008929136805818416,0.0032474978,314.3,-587.06005859375
343,84,2001,-742.72314453125,688128,332.79,,,,,,,,,,,,,
347,85,2002,-664.2733764648438,696320,325.9,1574.8763963699341,690.6286010742188,840,-1.3115312535315753,0.0003,0.9528762698173523,0.03765869140625,0.8989506363868713,0.2,-0.0016690141001163283,0.003964289,,
351,86,2004,-747.607666015625,704512,332.56,1383.9838706970215,457.8625793457031,850,-1.3116966459900141,0.0003,0.9567477703094482,0.01842041015625,0.9000796675682068,0.2,-0.00025410223097424025,0.0023295323,,
355,87,2007,-742.582763671875,712704,329.89,1833.799092388153,934.90576171875,860,-1.3115054650232196,0.0003,0.9533724784851074,0.0294189453125,0.8970921635627747,0.2,-0.0017336234112008242,0.002294938,,
,,,,720000,,1726.233163547516,678.0603637695312,870,-1.3116963418200611,0.0003,0.9602500200271606,0.0173583984375,0.9015300869941711,0.2,0.00024581580873928033,0.00067254703,325.9,-734.47509765625
360,88,2000,-701.6698608398438,720896,333.41,,,,,,,,,,,,,
364,89,2001,-796.243408203125,729088,339.4,1508.5224217414857,744.8930053710938,880,-1.3104386683553457,0.0003,0.9541233777999878,0.00914306640625,0.8970889449119568,0.2,0.0002912225103500532,0.0030616277,,
367,90,2003,-832.7228393554688,737280,344.08,3099.5674074172975,1074.6307373046875,890,-1.3116178477182985,0.0003,0.9241570234298706,0.0179443359375,0.8967744708061218,0.2,-0.00011394552566343919,0.0032174564,,
371,91,2005,-807.411376953125,745472,341.25,2023.5964875221252,814.7990112304688,900,-1.2991658594459294,0.0003,0.9475204348564148,0.018359375,0.878656804561615,0.2,-0.00024987718679767565,0.0023337086,,
375,92,2007,-841.07666015625,753664,336.34,1834.4907735824586,561.6895751953125,910,-1.2811233831569553,0.0003,0.9490748047828674,0.0138427734375,0.8648558855056763,0.2,0.00020699176184280077,0.0031979166,,
,,,,760000,,1589.7210603713988,659.8528442382812,920,-1.2775862699374556,0.0003,0.959132194519043,0.0128662109375,0.8691956400871277,0.2,-0.0004066565043103765,0.0040185787,321.9,-518.0460205078125
380,93,2000,-789.6207275390625,761856,331.05,,,,,,,,,,,,,
384,94,2002,-744.42822265625,770048,328.87,1611.7989469528197,755.464111328125,930,-1.2776496075093746,0.0003,0.964777946472168,0.02822265625,0.8662057518959045,0.2,-0.002018810993831721,0.0036397,,
388,95,2003,-754.32568359375,778240,328.34,1336.6515906333923,696.2825927734375,940,-1.2750788198783993,0.0003,0.9616536498069763,0.03861083984375,0.8637444376945496,0.2,-0.001764771025045775,0.0057435045,,
392,96,2005,-746.9969482421875,786432,331.19,1310.3240545272827,603.6251831054688,950,-1.2679983850568532,0.0003,0.9419261813163757,0.0635498046875,0.8585163354873657,0.2,-0.0036686971488961717,0.0056489743,,
395,97,2006,-756.1146850585938,794624,334.4,1478.0391396522523,661.5753173828125,960,-1.2693574346601963,0.0003,0.9657516479492188,0.0427734375,0.8623311519622803,0.2,-0.0013469255814925417,0.006114466,,
,,,,800000,,1490.5935826301575,820.8243408203125,970,-1.2542095705866814,0.0003,0.9500429630279541,0.0266357421875,0.8402722477912903,0.2,-0.0014676574272016296,0.0023048206,307.95,-221.32675170898438
401,98,1999,-752.73779296875,802816,334.09,,,,,,,,,,,,,
405,99,2001,-692.66064453125,811008,333.92,1032.4377446174622,329.7269287109375,980,-1.230829986743629,0.0003,0.9629845023155212,0.0232177734375,0.8209922313690186,0.2,-0.001300008548423648,0.0021246758,,
408,100,2003,-623.9207153320312,819200,331.95,978.0330953598022,559.4701538085938,990,-1.2160851914435624,0.0003,0.9597803950309753,0.0218505859375,0.8103681206703186,0.2,-0.0007326859384193085,0.0025079309,,
412,101,2005,-542.5614624023438,827392,330.19,886.0473415374756,214.3419952392578,1000,-1.206414046138525,0.0003,0.9652737975120544,0.0356689453125,0.8062043786048889,0.2,-0.0011039091234124499,0.0038363314,,
416,102,2007,-549.3496704101562,835584,331.88,1051.267666244507,535.8164672851562,1010,-1.1989408945664763,0.0003,0.9561429023742676,0.0317138671875,0.800775945186615,0.2,-0.0012875003601948265,0.002760729,,
,,,,840000,,1454.699299621582,557.503662109375,1020,-1.1927403151988982,0.0003,0.9514579176902771,0.03306884765625,0.7967604994773865,0.2,-0.0020786622346349757,0.005393263,343.65,-324.56072998046875
421,103,2000,-595.0751342773438,843776,342.31,,,,,,,,,,,,,
425,104,2002,-572.1607666015625,851968,341.05,851.8613586902618,437.26287841796875,1030,-1.1857911976054312,0.0003,0.9739062786102295,0.03336181640625,0.7872345447540283,0.2,-0.0011840019385999767,0.003385786,,
429,105,2004,-563.9840087890625,860160,341.4,1164.4092911720277,709.7373046875,1040,-1.1718140998855233,0.0003,0.9596641063690186,0.02786865234375,0.7767950296401978,0.2,-0.000588015680659737,0.004537857,,
432,106,2006,-492.7910461425781,868352,338.54,879.4908590316772,456.51055908203125,1050,-1.1584950674325227,0.0003,0.9653490781784058,0.04229736328125,0.7677004933357239,0.2,-0.0010377852155215805,0.003927181,,
436,107,2007,-494.0790100097656,876544,338.03,701.2805058956146,777.7533569335938,1060,-1.1422884041443466,0.0003,0.9603907465934753,0.04241943359375,0.7531552314758301,0.2,-0.000756867376549053,0.003804554,,
,,,,880000,,1132.1362827777862,383.98443603515625,1070,-1.1223188599571585,0.0003,0.958290696144104,0.03643798828125,0.7367135286331177,0.2,-0.0015829835432668916,0.0029446636,308.95,-2.3628859519958496
441,108,2001,-461.3321228027344,884736,334.3,,,,,,,,,,,,,
445,109,2003,-429.927490234375,892928,335.74,778.4562133312226,349.54901123046875,1080,-1.1061484906822443,0.0003,0.9582696557044983,0.02723388671875,0.724734902381897,0.2,-0.000602945788341458,0.00345435,,
449,110,2004,-480.605224609375,901120,344.08,677.2383484840393,457.95855712890625,1090,-1.0880812672898172,0.0003,0.9644532799720764,0.04979248046875,0.7114774584770203,0.2,-0.0005831348920764867,0.0056061177,,
453,111,2006,-441.2052001953125,909312,335.01,1124.4415348529815,384.8031921386719,1100,-1.0740600449964404,0.0003,0.956243634223938,0.02894287109375,0.7049726843833923,0.2,-0.0011521831584104802,0.0042401776,,
456,112,2008,-400.7265319824219,917504,336.25,750.655790424347,537.2979736328125,1110,-1.0571330493316053,0.0003,0.9665467739105225,0.0533203125,0.6927722692489624,0.2,-0.004496675819973461,0.0041024173,,
,,,,920000,,704.0185281276703,492.43438720703125,1120,-1.0547856628894805,0.0003,0.9619508385658264,0.03511962890625,0.695073664188385,0.2,-0.0020857682276982812,0.0031685603,321.7,-184.81639099121094
462,113,2002,-381.3289489746094,925696,328.64,,,,,,,,,,,,,
466,114,2003,-293.5062255859375,933888,318.42,587.3644337892532,219.43492126464844,1130,-1.0463679911568762,0.0003,0.9631224870681763,0.03936767578125,0.683246910572052,0.2,-0.00024234141546912723,0.0036557703,,
470,115,2003,-334.7814025878906,942080,329.01,499.64964520931244,218.17637634277344,1140,-1.0392460267990828,0.0003,0.969974160194397,0.05478515625,0.6842210292816162,0.2,-4.154042871959973e-05,0.0034465808,,
473,116,2005,-378.56756591796875,950272,333.98,538.3126070976257,284.8404541015625,1150,-1.0453945923596621,0.0003,0.9708424210548401,0.05277099609375,0.6926705241203308,0.2,-0.00324145979811874,0.004672561,,
477,117,2007,-387.1063232421875,958464,337.77,761.2395503997802,409.58807373046875,1160,-1.046570230089128,0.0003,0.9557802081108093,0.02198486328125,0.6851267218589783,0.2,-0.00013064604427199812,0.002357639,,
,,,,960000,,838.771378660202,368.82000732421875,1170,-1.0287890328094362,0.0003,0.9417718052864075,0.05052490234375,0.6729788184165955,0.2,-0.0017459381593653233,0.004742375,332.65,-225.037353515625
483,118,2000,-408.2191162109375,966656,338.67,,,,,,,,,,,,,
486,119,2002,-400.3932800292969,974848,339.14,559.9823874950409,229.8391876220703,1180,-1.0172324303537608,0.0003,0.9654402136802673,0.0581787109375,0.6684762835502625,0.2,-0.0008263561274361563,0.007991804,,
